Cer-EOS,[M-H]-,NL of EFA,[FAA+C2H2-H]-,[EFA-H]-,[FAA-H]-,[Sph-C2H8NO]-
Cer-EOS(d17:1/20:2-O-14:0)-H,800.7132,590.5148,348.2908,227.2017,322.2751,223.2067
Cer-EOS(d17:1/21:0-O-14:0)-H,818.7601,608.5618,366.3378,227.2017,340.3221,223.2067
Cer-EOS(d17:1/21:1-O-14:0)-H,816.7445,606.5461,364.3221,227.2017,338.3065,223.2067
Cer-EOS(d17:1/22:0-O-14:0)-H,832.7758,622.5775,380.3534,227.2017,354.3378,223.2067
Cer-EOS(d17:1/22:1-O-14:0)-H,830.7601,620.5618,378.3378,227.2017,352.3221,223.2067
Cer-EOS(d17:1/22:2-O-14:0)-H,828.7445,618.5461,376.3221,227.2017,350.3065,223.2067
Cer-EOS(d17:1/23:0-O-14:0)-H,846.7914,636.5931,394.369,227.2017,368.3534,223.2067
Cer-EOS(d17:1/23:1-O-14:0)-H,844.7758,634.5775,392.3534,227.2017,366.3378,223.2067
Cer-EOS(d17:1/24:0-O-14:0)-H,860.8071,650.6088,408.3847,227.2017,382.369,223.2067
Cer-EOS(d17:1/24:1-O-14:0)-H,858.7914,648.5931,406.369,227.2017,380.3534,223.2067
Cer-EOS(d17:1/24:2-O-14:0)-H,856.7758,646.5775,404.3534,227.2017,378.3378,223.2067
Cer-EOS(d17:1/25:0-O-14:0)-H,874.8228,664.6244,422.4004,227.2017,396.3847,223.2067
Cer-EOS(d17:1/25:1-O-14:0)-H,872.8071,662.6088,420.3847,227.2017,394.369,223.2067
Cer-EOS(d17:1/26:0-O-14:0)-H,888.8384,678.64,436.416,227.2017,410.4004,223.2067
Cer-EOS(d17:1/26:1-O-14:0)-H,886.8228,676.6244,434.4004,227.2017,408.3847,223.2067
Cer-EOS(d17:1/26:2-O-14:0)-H,884.8071,674.6088,432.3847,227.2017,406.369,223.2067
Cer-EOS(d17:1/27:0-O-14:0)-H,902.8541,692.6557,450.4317,227.2017,424.416,223.2067
Cer-EOS(d17:1/27:1-O-14:0)-H,900.8384,690.64,448.416,227.2017,422.4004,223.2067
Cer-EOS(d17:1/28:0-O-14:0)-H,916.8697,706.6713,464.4473,227.2017,438.4317,223.2067
Cer-EOS(d17:1/28:1-O-14:0)-H,914.8541,704.6557,462.4317,227.2017,436.416,223.2067
Cer-EOS(d17:1/28:2-O-14:0)-H,912.8384,702.64,460.416,227.2017,434.4004,223.2067
Cer-EOS(d17:1/29:0-O-14:0)-H,930.8854,720.687,478.463,227.2017,452.4473,223.2067
Cer-EOS(d17:1/29:1-O-14:0)-H,928.8697,718.6713,476.4473,227.2017,450.4317,223.2067
Cer-EOS(d17:1/30:0-O-14:0)-H,944.901,734.7026,492.4786,227.2017,466.463,223.2067
Cer-EOS(d17:1/30:1-O-14:0)-H,942.8854,732.687,490.463,227.2017,464.4473,223.2067
Cer-EOS(d17:1/30:2-O-14:0)-H,940.8697,730.6713,488.4473,227.2017,462.4317,223.2067
Cer-EOS(d17:1/31:0-O-14:0)-H,958.9167,748.7183,506.4943,227.2017,480.4786,223.2067
Cer-EOS(d17:1/31:1-O-14:0)-H,956.901,746.7026,504.4786,227.2017,478.463,223.2067
Cer-EOS(d17:1/32:0-O-14:0)-H,972.9323,762.7339,520.5099,227.2017,494.4943,223.2067
Cer-EOS(d17:1/32:1-O-14:0)-H,970.9167,760.7183,518.4943,227.2017,492.4786,223.2067
Cer-EOS(d17:1/32:2-O-14:0)-H,968.901,758.7026,516.4786,227.2017,490.463,223.2067
Cer-EOS(d17:1/33:0-O-14:0)-H,986.9479,776.7496,534.5256,227.2017,508.5099,223.2067
Cer-EOS(d17:1/33:1-O-14:0)-H,984.9323,774.7339,532.5099,227.2017,506.4943,223.2067
Cer-EOS(d17:1/34:0-O-14:0)-H,1000.964,790.7653,548.5412,227.2017,522.5256,223.2067
Cer-EOS(d17:1/34:1-O-14:0)-H,998.9479,788.7496,546.5256,227.2017,520.5099,223.2067
Cer-EOS(d17:1/34:2-O-14:0)-H,996.9323,786.7339,544.5099,227.2017,518.4943,223.2067
Cer-EOS(d17:1/35:0-O-14:0)-H,1014.979,804.7809,562.5569,227.2017,536.5412,223.2067
Cer-EOS(d17:1/35:1-O-14:0)-H,1012.964,802.7653,560.5412,227.2017,534.5256,223.2067
Cer-EOS(d17:1/36:0-O-14:0)-H,1028.995,818.7966,576.5725,227.2017,550.5569,223.2067
Cer-EOS(d17:1/36:1-O-14:0)-H,1026.979,816.7809,574.5569,227.2017,548.5412,223.2067
Cer-EOS(d17:1/36:2-O-14:0)-H,1024.964,814.7653,572.5412,227.2017,546.5256,223.2067
Cer-EOS(d17:1/38:0-O-14:0)-H,1057.026,846.8278,604.6038,227.2017,578.5881,223.2067
Cer-EOS(d17:1/38:1-O-14:0)-H,1055.011,844.8122,602.5881,227.2017,576.5725,223.2067
Cer-EOS(d17:1/38:2-O-14:0)-H,1052.995,842.7966,600.5725,227.2017,574.5569,223.2067
Cer-EOS(d17:1/40:0-O-14:0)-H,1085.057,874.8591,632.6351,227.2017,606.6194,223.2067
Cer-EOS(d17:1/40:1-O-14:0)-H,1083.042,872.8435,630.6194,227.2017,604.6038,223.2067
Cer-EOS(d17:1/40:2-O-14:0)-H,1081.026,870.8278,628.6038,227.2017,602.5881,223.2067
Cer-EOS(d17:1/42:0-O-14:0)-H,1113.089,902.8904,660.6664,227.2017,634.6508,223.2067
Cer-EOS(d17:1/42:1-O-14:0)-H,1111.073,900.8748,658.6508,227.2017,632.6351,223.2067
Cer-EOS(d17:1/42:2-O-14:0)-H,1109.057,898.8591,656.6351,227.2017,630.6194,223.2067
Cer-EOS(d17:1/12:0-O-14:1)-H,690.6036,482.4209,240.1969,225.186,214.1813,223.2067
Cer-EOS(d17:1/12:1-O-14:1)-H,688.588,480.4053,238.1813,225.186,212.1656,223.2067
Cer-EOS(d17:1/13:0-O-14:1)-H,704.6193,496.4366,254.2126,225.186,228.1969,223.2067
Cer-EOS(d17:1/13:1-O-14:1)-H,702.6036,494.4209,252.1969,225.186,226.1813,223.2067
Cer-EOS(d17:1/14:0-O-14:1)-H,718.6349,510.4522,268.2282,225.186,242.2126,223.2067
Cer-EOS(d17:1/14:1-O-14:1)-H,716.6193,508.4366,266.2126,225.186,240.1969,223.2067
Cer-EOS(d17:1/15:0-O-14:1)-H,732.6506,524.4679,282.2439,225.186,256.2282,223.2067
Cer-EOS(d17:1/15:1-O-14:1)-H,730.6349,522.4522,280.2282,225.186,254.2126,223.2067
Cer-EOS(d17:1/16:0-O-14:1)-H,746.6663,538.4835,296.2595,225.186,270.2439,223.2067
Cer-EOS(d17:1/16:1-O-14:1)-H,744.6506,536.4679,294.2439,225.186,268.2282,223.2067
Cer-EOS(d17:1/16:2-O-14:1)-H,742.6349,534.4522,292.2282,225.186,266.2126,223.2067
Cer-EOS(d17:1/17:0-O-14:1)-H,760.6819,552.4992,310.2751,225.186,284.2595,223.2067
Cer-EOS(d17:1/18:0-O-14:1)-H,774.6976,566.5148,324.2908,225.186,298.2751,223.2067
Cer-EOS(d17:1/18:1-O-14:1)-H,772.6819,564.4992,322.2751,225.186,296.2595,223.2067
Cer-EOS(d17:1/18:2-O-14:1)-H,770.6663,562.4835,320.2595,225.186,294.2439,223.2067
Cer-EOS(d17:1/19:0-O-14:1)-H,788.7132,580.5305,338.3065,225.186,312.2908,223.2067
Cer-EOS(d17:1/19:1-O-14:1)-H,786.6976,578.5148,336.2908,225.186,310.2751,223.2067
Cer-EOS(d17:1/20:0-O-14:1)-H,802.7289,594.5461,352.3221,225.186,326.3065,223.2067
Cer-EOS(d17:1/20:1-O-14:1)-H,800.7132,592.5305,350.3065,225.186,324.2908,223.2067
Cer-EOS(d17:1/20:2-O-14:1)-H,798.6976,590.5148,348.2908,225.186,322.2751,223.2067
Cer-EOS(d17:1/21:0-O-14:1)-H,816.7445,608.5618,366.3378,225.186,340.3221,223.2067
Cer-EOS(d17:1/21:1-O-14:1)-H,814.7289,606.5461,364.3221,225.186,338.3065,223.2067
Cer-EOS(d17:1/22:0-O-14:1)-H,830.7601,622.5775,380.3534,225.186,354.3378,223.2067
Cer-EOS(d17:1/22:1-O-14:1)-H,828.7445,620.5618,378.3378,225.186,352.3221,223.2067
Cer-EOS(d17:1/22:2-O-14:1)-H,826.7289,618.5461,376.3221,225.186,350.3065,223.2067
Cer-EOS(d17:1/23:0-O-14:1)-H,844.7758,636.5931,394.369,225.186,368.3534,223.2067
Cer-EOS(d17:1/23:1-O-14:1)-H,842.7601,634.5775,392.3534,225.186,366.3378,223.2067
Cer-EOS(d17:1/24:0-O-14:1)-H,858.7914,650.6088,408.3847,225.186,382.369,223.2067
Cer-EOS(d17:1/24:1-O-14:1)-H,856.7758,648.5931,406.369,225.186,380.3534,223.2067
Cer-EOS(d17:1/24:2-O-14:1)-H,854.7601,646.5775,404.3534,225.186,378.3378,223.2067
Cer-EOS(d17:1/25:0-O-14:1)-H,872.8071,664.6244,422.4004,225.186,396.3847,223.2067
Cer-EOS(d17:1/25:1-O-14:1)-H,870.7914,662.6088,420.3847,225.186,394.369,223.2067
Cer-EOS(d17:1/26:0-O-14:1)-H,886.8228,678.64,436.416,225.186,410.4004,223.2067
Cer-EOS(d17:1/26:1-O-14:1)-H,884.8071,676.6244,434.4004,225.186,408.3847,223.2067
Cer-EOS(d17:1/26:2-O-14:1)-H,882.7914,674.6088,432.3847,225.186,406.369,223.2067
Cer-EOS(d17:1/27:0-O-14:1)-H,900.8384,692.6557,450.4317,225.186,424.416,223.2067
Cer-EOS(d17:1/27:1-O-14:1)-H,898.8228,690.64,448.416,225.186,422.4004,223.2067
Cer-EOS(d17:1/28:0-O-14:1)-H,914.8541,706.6713,464.4473,225.186,438.4317,223.2067
Cer-EOS(d17:1/28:1-O-14:1)-H,912.8384,704.6557,462.4317,225.186,436.416,223.2067
Cer-EOS(d17:1/28:2-O-14:1)-H,910.8228,702.64,460.416,225.186,434.4004,223.2067
Cer-EOS(d17:1/29:0-O-14:1)-H,928.8697,720.687,478.463,225.186,452.4473,223.2067
Cer-EOS(d17:1/29:1-O-14:1)-H,926.8541,718.6713,476.4473,225.186,450.4317,223.2067
Cer-EOS(d17:1/30:0-O-14:1)-H,942.8854,734.7026,492.4786,225.186,466.463,223.2067
Cer-EOS(d17:1/30:1-O-14:1)-H,940.8697,732.687,490.463,225.186,464.4473,223.2067
Cer-EOS(d17:1/30:2-O-14:1)-H,938.8541,730.6713,488.4473,225.186,462.4317,223.2067
Cer-EOS(d17:1/31:0-O-14:1)-H,956.901,748.7183,506.4943,225.186,480.4786,223.2067
Cer-EOS(d17:1/31:1-O-14:1)-H,954.8854,746.7026,504.4786,225.186,478.463,223.2067
Cer-EOS(d17:1/32:0-O-14:1)-H,970.9167,762.7339,520.5099,225.186,494.4943,223.2067
Cer-EOS(d17:1/32:1-O-14:1)-H,968.901,760.7183,518.4943,225.186,492.4786,223.2067
Cer-EOS(d17:1/32:2-O-14:1)-H,966.8854,758.7026,516.4786,225.186,490.463,223.2067
Cer-EOS(d17:1/33:0-O-14:1)-H,984.9323,776.7496,534.5256,225.186,508.5099,223.2067
Cer-EOS(d17:1/33:1-O-14:1)-H,982.9167,774.7339,532.5099,225.186,506.4943,223.2067
Cer-EOS(d17:1/34:0-O-14:1)-H,998.9479,790.7653,548.5412,225.186,522.5256,223.2067
Cer-EOS(d17:1/34:1-O-14:1)-H,996.9323,788.7496,546.5256,225.186,520.5099,223.2067
Cer-EOS(d17:1/34:2-O-14:1)-H,994.9167,786.7339,544.5099,225.186,518.4943,223.2067
Cer-EOS(d17:1/35:0-O-14:1)-H,1012.964,804.7809,562.5569,225.186,536.5412,223.2067
Cer-EOS(d17:1/35:1-O-14:1)-H,1010.948,802.7653,560.5412,225.186,534.5256,223.2067
Cer-EOS(d17:1/36:0-O-14:1)-H,1026.979,818.7966,576.5725,225.186,550.5569,223.2067
Cer-EOS(d17:1/36:1-O-14:1)-H,1024.964,816.7809,574.5569,225.186,548.5412,223.2067
Cer-EOS(d17:1/36:2-O-14:1)-H,1022.948,814.7653,572.5412,225.186,546.5256,223.2067
Cer-EOS(d17:1/38:0-O-14:1)-H,1055.011,846.8278,604.6038,225.186,578.5881,223.2067
Cer-EOS(d17:1/38:1-O-14:1)-H,1052.995,844.8122,602.5881,225.186,576.5725,223.2067
Cer-EOS(d17:1/38:2-O-14:1)-H,1050.979,842.7966,600.5725,225.186,574.5569,223.2067
Cer-EOS(d17:1/40:0-O-14:1)-H,1083.042,874.8591,632.6351,225.186,606.6194,223.2067
Cer-EOS(d17:1/40:1-O-14:1)-H,1081.026,872.8435,630.6194,225.186,604.6038,223.2067
Cer-EOS(d17:1/40:2-O-14:1)-H,1079.011,870.8278,628.6038,225.186,602.5881,223.2067
Cer-EOS(d17:1/42:0-O-14:1)-H,1111.073,902.8904,660.6664,225.186,634.6508,223.2067
Cer-EOS(d17:1/42:1-O-14:1)-H,1109.057,900.8748,658.6508,225.186,632.6351,223.2067
Cer-EOS(d17:1/42:2-O-14:1)-H,1107.042,898.8591,656.6351,225.186,630.6194,223.2067
Cer-EOS(d17:1/12:0-O-15:0)-H,706.6349,482.4209,240.1969,241.2173,214.1813,223.2067
Cer-EOS(d17:1/12:1-O-15:0)-H,704.6193,480.4053,238.1813,241.2173,212.1656,223.2067
Cer-EOS(d17:1/13:0-O-15:0)-H,720.6506,496.4366,254.2126,241.2173,228.1969,223.2067
Cer-EOS(d17:1/13:1-O-15:0)-H,718.6349,494.4209,252.1969,241.2173,226.1813,223.2067
Cer-EOS(d17:1/14:0-O-15:0)-H,734.6663,510.4522,268.2282,241.2173,242.2126,223.2067
Cer-EOS(d17:1/14:1-O-15:0)-H,732.6506,508.4366,266.2126,241.2173,240.1969,223.2067
Cer-EOS(d17:1/15:0-O-15:0)-H,748.6819,524.4679,282.2439,241.2173,256.2282,223.2067
Cer-EOS(d17:1/15:1-O-15:0)-H,746.6663,522.4522,280.2282,241.2173,254.2126,223.2067
Cer-EOS(d17:1/16:0-O-15:0)-H,762.6976,538.4835,296.2595,241.2173,270.2439,223.2067
Cer-EOS(d17:1/16:1-O-15:0)-H,760.6819,536.4679,294.2439,241.2173,268.2282,223.2067
Cer-EOS(d17:1/16:2-O-15:0)-H,758.6663,534.4522,292.2282,241.2173,266.2126,223.2067
Cer-EOS(d17:1/17:0-O-15:0)-H,776.7132,552.4992,310.2751,241.2173,284.2595,223.2067
Cer-EOS(d17:1/18:0-O-15:0)-H,790.7289,566.5148,324.2908,241.2173,298.2751,223.2067
Cer-EOS(d17:1/18:1-O-15:0)-H,788.7132,564.4992,322.2751,241.2173,296.2595,223.2067
Cer-EOS(d17:1/18:2-O-15:0)-H,786.6976,562.4835,320.2595,241.2173,294.2439,223.2067
Cer-EOS(d17:1/19:0-O-15:0)-H,804.7445,580.5305,338.3065,241.2173,312.2908,223.2067
Cer-EOS(d17:1/19:1-O-15:0)-H,802.7289,578.5148,336.2908,241.2173,310.2751,223.2067
Cer-EOS(d17:1/20:0-O-15:0)-H,818.7601,594.5461,352.3221,241.2173,326.3065,223.2067
Cer-EOS(d17:1/20:1-O-15:0)-H,816.7445,592.5305,350.3065,241.2173,324.2908,223.2067
Cer-EOS(d17:1/20:2-O-15:0)-H,814.7289,590.5148,348.2908,241.2173,322.2751,223.2067
Cer-EOS(d17:1/21:0-O-15:0)-H,832.7758,608.5618,366.3378,241.2173,340.3221,223.2067
Cer-EOS(d17:1/21:1-O-15:0)-H,830.7601,606.5461,364.3221,241.2173,338.3065,223.2067
Cer-EOS(d17:1/22:0-O-15:0)-H,846.7914,622.5775,380.3534,241.2173,354.3378,223.2067
Cer-EOS(d17:1/22:1-O-15:0)-H,844.7758,620.5618,378.3378,241.2173,352.3221,223.2067
Cer-EOS(d17:1/22:2-O-15:0)-H,842.7601,618.5461,376.3221,241.2173,350.3065,223.2067
Cer-EOS(d17:1/23:0-O-15:0)-H,860.8071,636.5931,394.369,241.2173,368.3534,223.2067
Cer-EOS(d17:1/23:1-O-15:0)-H,858.7914,634.5775,392.3534,241.2173,366.3378,223.2067
Cer-EOS(d17:1/24:0-O-15:0)-H,874.8228,650.6088,408.3847,241.2173,382.369,223.2067
Cer-EOS(d17:1/24:1-O-15:0)-H,872.8071,648.5931,406.369,241.2173,380.3534,223.2067
Cer-EOS(d17:1/24:2-O-15:0)-H,870.7914,646.5775,404.3534,241.2173,378.3378,223.2067
Cer-EOS(d17:1/25:0-O-15:0)-H,888.8384,664.6244,422.4004,241.2173,396.3847,223.2067
Cer-EOS(d17:1/25:1-O-15:0)-H,886.8228,662.6088,420.3847,241.2173,394.369,223.2067
Cer-EOS(d17:1/26:0-O-15:0)-H,902.8541,678.64,436.416,241.2173,410.4004,223.2067
Cer-EOS(d17:1/26:1-O-15:0)-H,900.8384,676.6244,434.4004,241.2173,408.3847,223.2067
Cer-EOS(d17:1/26:2-O-15:0)-H,898.8228,674.6088,432.3847,241.2173,406.369,223.2067
Cer-EOS(d17:1/27:0-O-15:0)-H,916.8697,692.6557,450.4317,241.2173,424.416,223.2067
Cer-EOS(d17:1/27:1-O-15:0)-H,914.8541,690.64,448.416,241.2173,422.4004,223.2067
Cer-EOS(d17:1/28:0-O-15:0)-H,930.8854,706.6713,464.4473,241.2173,438.4317,223.2067
Cer-EOS(d17:1/28:1-O-15:0)-H,928.8697,704.6557,462.4317,241.2173,436.416,223.2067
Cer-EOS(d17:1/28:2-O-15:0)-H,926.8541,702.64,460.416,241.2173,434.4004,223.2067
Cer-EOS(d17:1/29:0-O-15:0)-H,944.901,720.687,478.463,241.2173,452.4473,223.2067
Cer-EOS(d17:1/29:1-O-15:0)-H,942.8854,718.6713,476.4473,241.2173,450.4317,223.2067
Cer-EOS(d17:1/30:0-O-15:0)-H,958.9167,734.7026,492.4786,241.2173,466.463,223.2067
Cer-EOS(d17:1/30:1-O-15:0)-H,956.901,732.687,490.463,241.2173,464.4473,223.2067
Cer-EOS(d17:1/30:2-O-15:0)-H,954.8854,730.6713,488.4473,241.2173,462.4317,223.2067
Cer-EOS(d17:1/31:0-O-15:0)-H,972.9323,748.7183,506.4943,241.2173,480.4786,223.2067
Cer-EOS(d17:1/31:1-O-15:0)-H,970.9167,746.7026,504.4786,241.2173,478.463,223.2067
Cer-EOS(d17:1/32:0-O-15:0)-H,986.9479,762.7339,520.5099,241.2173,494.4943,223.2067
Cer-EOS(d17:1/32:1-O-15:0)-H,984.9323,760.7183,518.4943,241.2173,492.4786,223.2067
Cer-EOS(d17:1/32:2-O-15:0)-H,982.9167,758.7026,516.4786,241.2173,490.463,223.2067
Cer-EOS(d17:1/33:0-O-15:0)-H,1000.964,776.7496,534.5256,241.2173,508.5099,223.2067
Cer-EOS(d17:1/33:1-O-15:0)-H,998.9479,774.7339,532.5099,241.2173,506.4943,223.2067
Cer-EOS(d17:1/34:0-O-15:0)-H,1014.979,790.7653,548.5412,241.2173,522.5256,223.2067
Cer-EOS(d17:1/34:1-O-15:0)-H,1012.964,788.7496,546.5256,241.2173,520.5099,223.2067
Cer-EOS(d17:1/34:2-O-15:0)-H,1010.948,786.7339,544.5099,241.2173,518.4943,223.2067
Cer-EOS(d17:1/35:0-O-15:0)-H,1028.995,804.7809,562.5569,241.2173,536.5412,223.2067
Cer-EOS(d17:1/35:1-O-15:0)-H,1026.979,802.7653,560.5412,241.2173,534.5256,223.2067
Cer-EOS(d17:1/36:0-O-15:0)-H,1043.011,818.7966,576.5725,241.2173,550.5569,223.2067
Cer-EOS(d17:1/36:1-O-15:0)-H,1040.995,816.7809,574.5569,241.2173,548.5412,223.2067
Cer-EOS(d17:1/36:2-O-15:0)-H,1038.979,814.7653,572.5412,241.2173,546.5256,223.2067
Cer-EOS(d17:1/38:0-O-15:0)-H,1071.042,846.8278,604.6038,241.2173,578.5881,223.2067
Cer-EOS(d17:1/38:1-O-15:0)-H,1069.026,844.8122,602.5881,241.2173,576.5725,223.2067
Cer-EOS(d17:1/38:2-O-15:0)-H,1067.011,842.7966,600.5725,241.2173,574.5569,223.2067
Cer-EOS(d17:1/40:0-O-15:0)-H,1099.073,874.8591,632.6351,241.2173,606.6194,223.2067
Cer-EOS(d17:1/40:1-O-15:0)-H,1097.057,872.8435,630.6194,241.2173,604.6038,223.2067
Cer-EOS(d17:1/40:2-O-15:0)-H,1095.042,870.8278,628.6038,241.2173,602.5881,223.2067
Cer-EOS(d17:1/42:0-O-15:0)-H,1127.104,902.8904,660.6664,241.2173,634.6508,223.2067
Cer-EOS(d17:1/42:1-O-15:0)-H,1125.089,900.8748,658.6508,241.2173,632.6351,223.2067
Cer-EOS(d17:1/42:2-O-15:0)-H,1123.073,898.8591,656.6351,241.2173,630.6194,223.2067
Cer-EOS(d17:1/12:0-O-15:1)-H,704.6193,482.4209,240.1969,239.2017,214.1813,223.2067
Cer-EOS(d17:1/12:1-O-15:1)-H,702.6036,480.4053,238.1813,239.2017,212.1656,223.2067
Cer-EOS(d17:1/13:0-O-15:1)-H,718.6349,496.4366,254.2126,239.2017,228.1969,223.2067
Cer-EOS(d17:1/13:1-O-15:1)-H,716.6193,494.4209,252.1969,239.2017,226.1813,223.2067
Cer-EOS(d17:1/14:0-O-15:1)-H,732.6506,510.4522,268.2282,239.2017,242.2126,223.2067
Cer-EOS(d17:1/14:1-O-15:1)-H,730.6349,508.4366,266.2126,239.2017,240.1969,223.2067
Cer-EOS(d17:1/15:0-O-15:1)-H,746.6663,524.4679,282.2439,239.2017,256.2282,223.2067
Cer-EOS(d17:1/15:1-O-15:1)-H,744.6506,522.4522,280.2282,239.2017,254.2126,223.2067
Cer-EOS(d17:1/16:0-O-15:1)-H,760.6819,538.4835,296.2595,239.2017,270.2439,223.2067
Cer-EOS(d17:1/16:1-O-15:1)-H,758.6663,536.4679,294.2439,239.2017,268.2282,223.2067
Cer-EOS(d17:1/16:2-O-15:1)-H,756.6506,534.4522,292.2282,239.2017,266.2126,223.2067
Cer-EOS(d17:1/17:0-O-15:1)-H,774.6976,552.4992,310.2751,239.2017,284.2595,223.2067
Cer-EOS(d17:1/18:0-O-15:1)-H,788.7132,566.5148,324.2908,239.2017,298.2751,223.2067
Cer-EOS(d17:1/18:1-O-15:1)-H,786.6976,564.4992,322.2751,239.2017,296.2595,223.2067
Cer-EOS(d17:1/18:2-O-15:1)-H,784.6819,562.4835,320.2595,239.2017,294.2439,223.2067
Cer-EOS(d17:1/19:0-O-15:1)-H,802.7289,580.5305,338.3065,239.2017,312.2908,223.2067
Cer-EOS(d17:1/19:1-O-15:1)-H,800.7132,578.5148,336.2908,239.2017,310.2751,223.2067
Cer-EOS(d17:1/20:0-O-15:1)-H,816.7445,594.5461,352.3221,239.2017,326.3065,223.2067
Cer-EOS(d17:1/20:1-O-15:1)-H,814.7289,592.5305,350.3065,239.2017,324.2908,223.2067
Cer-EOS(d17:1/20:2-O-15:1)-H,812.7132,590.5148,348.2908,239.2017,322.2751,223.2067
Cer-EOS(d17:1/21:0-O-15:1)-H,830.7601,608.5618,366.3378,239.2017,340.3221,223.2067
Cer-EOS(d17:1/21:1-O-15:1)-H,828.7445,606.5461,364.3221,239.2017,338.3065,223.2067
Cer-EOS(d17:1/22:0-O-15:1)-H,844.7758,622.5775,380.3534,239.2017,354.3378,223.2067
Cer-EOS(d17:1/22:1-O-15:1)-H,842.7601,620.5618,378.3378,239.2017,352.3221,223.2067
Cer-EOS(d17:1/22:2-O-15:1)-H,840.7445,618.5461,376.3221,239.2017,350.3065,223.2067
Cer-EOS(d17:1/23:0-O-15:1)-H,858.7914,636.5931,394.369,239.2017,368.3534,223.2067
Cer-EOS(d17:1/23:1-O-15:1)-H,856.7758,634.5775,392.3534,239.2017,366.3378,223.2067
Cer-EOS(d17:1/24:0-O-15:1)-H,872.8071,650.6088,408.3847,239.2017,382.369,223.2067
Cer-EOS(d17:1/24:1-O-15:1)-H,870.7914,648.5931,406.369,239.2017,380.3534,223.2067
Cer-EOS(d17:1/24:2-O-15:1)-H,868.7758,646.5775,404.3534,239.2017,378.3378,223.2067
Cer-EOS(d17:1/25:0-O-15:1)-H,886.8228,664.6244,422.4004,239.2017,396.3847,223.2067
Cer-EOS(d17:1/25:1-O-15:1)-H,884.8071,662.6088,420.3847,239.2017,394.369,223.2067
Cer-EOS(d17:1/26:0-O-15:1)-H,900.8384,678.64,436.416,239.2017,410.4004,223.2067
Cer-EOS(d17:1/26:1-O-15:1)-H,898.8228,676.6244,434.4004,239.2017,408.3847,223.2067
Cer-EOS(d17:1/26:2-O-15:1)-H,896.8071,674.6088,432.3847,239.2017,406.369,223.2067
Cer-EOS(d17:1/27:0-O-15:1)-H,914.8541,692.6557,450.4317,239.2017,424.416,223.2067
Cer-EOS(d17:1/27:1-O-15:1)-H,912.8384,690.64,448.416,239.2017,422.4004,223.2067
Cer-EOS(d17:1/28:0-O-15:1)-H,928.8697,706.6713,464.4473,239.2017,438.4317,223.2067
Cer-EOS(d17:1/28:1-O-15:1)-H,926.8541,704.6557,462.4317,239.2017,436.416,223.2067
Cer-EOS(d17:1/28:2-O-15:1)-H,924.8384,702.64,460.416,239.2017,434.4004,223.2067
Cer-EOS(d17:1/29:0-O-15:1)-H,942.8854,720.687,478.463,239.2017,452.4473,223.2067
Cer-EOS(d17:1/29:1-O-15:1)-H,940.8697,718.6713,476.4473,239.2017,450.4317,223.2067
Cer-EOS(d17:1/30:0-O-15:1)-H,956.901,734.7026,492.4786,239.2017,466.463,223.2067
Cer-EOS(d17:1/30:1-O-15:1)-H,954.8854,732.687,490.463,239.2017,464.4473,223.2067
Cer-EOS(d17:1/30:2-O-15:1)-H,952.8697,730.6713,488.4473,239.2017,462.4317,223.2067
Cer-EOS(d17:1/31:0-O-15:1)-H,970.9167,748.7183,506.4943,239.2017,480.4786,223.2067
Cer-EOS(d17:1/31:1-O-15:1)-H,968.901,746.7026,504.4786,239.2017,478.463,223.2067
Cer-EOS(d17:1/32:0-O-15:1)-H,984.9323,762.7339,520.5099,239.2017,494.4943,223.2067
Cer-EOS(d17:1/32:1-O-15:1)-H,982.9167,760.7183,518.4943,239.2017,492.4786,223.2067
Cer-EOS(d17:1/32:2-O-15:1)-H,980.901,758.7026,516.4786,239.2017,490.463,223.2067
Cer-EOS(d17:1/33:0-O-15:1)-H,998.9479,776.7496,534.5256,239.2017,508.5099,223.2067
Cer-EOS(d17:1/33:1-O-15:1)-H,996.9323,774.7339,532.5099,239.2017,506.4943,223.2067
Cer-EOS(d17:1/34:0-O-15:1)-H,1012.964,790.7653,548.5412,239.2017,522.5256,223.2067
Cer-EOS(d17:1/34:1-O-15:1)-H,1010.948,788.7496,546.5256,239.2017,520.5099,223.2067
Cer-EOS(d17:1/34:2-O-15:1)-H,1008.932,786.7339,544.5099,239.2017,518.4943,223.2067
Cer-EOS(d17:1/35:0-O-15:1)-H,1026.979,804.7809,562.5569,239.2017,536.5412,223.2067
Cer-EOS(d17:1/35:1-O-15:1)-H,1024.964,802.7653,560.5412,239.2017,534.5256,223.2067
Cer-EOS(d17:1/36:0-O-15:1)-H,1040.995,818.7966,576.5725,239.2017,550.5569,223.2067
Cer-EOS(d17:1/36:1-O-15:1)-H,1038.979,816.7809,574.5569,239.2017,548.5412,223.2067
Cer-EOS(d17:1/36:2-O-15:1)-H,1036.964,814.7653,572.5412,239.2017,546.5256,223.2067
Cer-EOS(d17:1/38:0-O-15:1)-H,1069.026,846.8278,604.6038,239.2017,578.5881,223.2067
Cer-EOS(d17:1/38:1-O-15:1)-H,1067.011,844.8122,602.5881,239.2017,576.5725,223.2067
Cer-EOS(d17:1/38:2-O-15:1)-H,1064.995,842.7966,600.5725,239.2017,574.5569,223.2067
