Plasmenyl-PC,[M+HCO2]-,NL_CH3&HCO2,NL_Choline&HCO2,NL_T2Ketene&CH3&HCO3,NL_T2RCOOH&CH3&HCO3,NL_T2RCOOH_Choline_HCO3*,GlyceroPC_NLCH3&H2O,T2_RCOO-,PC_NLCH3, Glycerol-3-phosphate_NLH2O,H2PO4-,PO3-
Plasmenyl-PC(P-16:1/15:0)+HCO2,746.53426,686.51312,615.43962,462.29905,444.28849,373.215,224.06881,241.21735,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/15:1)+HCO2,744.51856,684.49742,613.42392,462.29905,444.28849,373.215,224.06881,239.20165,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/16:0)+HCO2,760.54986,700.52872,629.45522,462.29905,444.28849,373.215,224.06881,255.23295,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/16:1)+HCO2,758.53426,698.51312,627.43962,462.29905,444.28849,373.215,224.06881,253.21735,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/17:0)+HCO2,774.56556,714.54442,643.47092,462.29905,444.28849,373.215,224.06881,269.24865,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/17:1)+HCO2,772.54986,712.52872,641.45522,462.29905,444.28849,373.215,224.06881,267.23295,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/17:2)+HCO2,770.53426,710.51312,639.43962,462.29905,444.28849,373.215,224.06881,265.21735,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/18:0)+HCO2,788.58116,728.56002,657.48652,462.29905,444.28849,373.215,224.06881,283.26425,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/18:1)+HCO2,786.56556,726.54442,655.47092,462.29905,444.28849,373.215,224.06881,281.24865,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/18:2)+HCO2,784.54986,724.52872,653.45522,462.29905,444.28849,373.215,224.06881,279.23295,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/18:3)+HCO2,782.53426,722.51312,651.43962,462.29905,444.28849,373.215,224.06881,277.21735,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/18:4)+HCO2,780.51856,720.49742,649.42392,462.29905,444.28849,373.215,224.06881,275.20165,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/19:0)+HCO2,802.59686,742.57572,671.50222,462.29905,444.28849,373.215,224.06881,297.27995,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/20:0)+HCO2,816.61246,756.59132,685.51782,462.29905,444.28849,373.215,224.06881,311.29555,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/20:1)+HCO2,814.59686,754.57572,683.50222,462.29905,444.28849,373.215,224.06881,309.27995,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/20:2)+HCO2,812.58116,752.56002,681.48652,462.29905,444.28849,373.215,224.06881,307.26425,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/20:3)+HCO2,810.56556,750.54442,679.47092,462.29905,444.28849,373.215,224.06881,305.24865,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/20:4)+HCO2,808.54986,748.52872,677.45522,462.29905,444.28849,373.215,224.06881,303.23295,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/20:5)+HCO2,806.53426,746.51312,675.43962,462.29905,444.28849,373.215,224.06881,301.21735,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/21:0)+HCO2,830.62816,770.60702,699.53352,462.29905,444.28849,373.215,224.06881,325.31125,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/22:0)+HCO2,844.64376,784.62262,713.54912,462.29905,444.28849,373.215,224.06881,339.32685,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/22:1)+HCO2,842.62816,782.60702,711.53352,462.29905,444.28849,373.215,224.06881,337.31125,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/22:2)+HCO2,840.61246,780.59132,709.51782,462.29905,444.28849,373.215,224.06881,335.29555,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/22:3)+HCO2,838.59686,778.57572,707.50222,462.29905,444.28849,373.215,224.06881,333.27995,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/22:4)+HCO2,836.58116,776.56002,705.48652,462.29905,444.28849,373.215,224.06881,331.26425,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/22:5)+HCO2,834.56556,774.54442,703.47092,462.29905,444.28849,373.215,224.06881,329.24865,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/22:6)+HCO2,832.54986,772.52872,701.45522,462.29905,444.28849,373.215,224.06881,327.23295,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/23:0)+HCO2,858.65946,798.63832,727.56482,462.29905,444.28849,373.215,224.06881,353.34255,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/24:0)+HCO2,872.67506,812.65392,741.58042,462.29905,444.28849,373.215,224.06881,367.35815,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/24:1)+HCO2,870.65946,810.63832,739.56482,462.29905,444.28849,373.215,224.06881,365.34255,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/25:0)+HCO2,886.69076,826.66962,755.59612,462.29905,444.28849,373.215,224.06881,381.37385,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/26:0)+HCO2,900.70636,840.68522,769.61172,462.29905,444.28849,373.215,224.06881,395.38945,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/8:0)+HCO2,648.42466,588.40352,517.33002,462.29905,444.28849,373.215,224.06881,143.10775,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/10:0)+HCO2,706.50286,646.48172,575.40822,492.34595,474.33539,403.2619,224.06881,171.13905,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/12:0)+HCO2,734.53416,674.51302,603.43952,492.34595,474.33539,403.2619,224.06881,199.17035,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/13:0)+HCO2,748.54986,688.52872,617.45522,492.34595,474.33539,403.2619,224.06881,213.18605,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/14:0)+HCO2,762.56546,702.54432,631.47082,492.34595,474.33539,403.2619,224.06881,227.20165,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/14:1)+HCO2,760.54986,700.52872,629.45522,492.34595,474.33539,403.2619,224.06881,225.18605,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/15:0)+HCO2,776.58116,716.56002,645.48652,492.34595,474.33539,403.2619,224.06881,241.21735,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/15:1)+HCO2,774.56546,714.54432,643.47082,492.34595,474.33539,403.2619,224.06881,239.20165,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/16:0)+HCO2,790.59676,730.57562,659.50212,492.34595,474.33539,403.2619,224.06881,255.23295,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/16:1)+HCO2,788.58116,728.56002,657.48652,492.34595,474.33539,403.2619,224.06881,253.21735,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/17:0)+HCO2,804.61246,744.59132,673.51782,492.34595,474.33539,403.2619,224.06881,269.24865,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/17:1)+HCO2,802.59676,742.57562,671.50212,492.34595,474.33539,403.2619,224.06881,267.23295,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/17:2)+HCO2,800.58116,740.56002,669.48652,492.34595,474.33539,403.2619,224.06881,265.21735,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/18:0)+HCO2,818.62806,758.60692,687.53342,492.34595,474.33539,403.2619,224.06881,283.26425,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/18:1)+HCO2,816.61246,756.59132,685.51782,492.34595,474.33539,403.2619,224.06881,281.24865,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/18:2)+HCO2,814.59676,754.57562,683.50212,492.34595,474.33539,403.2619,224.06881,279.23295,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/18:3)+HCO2,812.58116,752.56002,681.48652,492.34595,474.33539,403.2619,224.06881,277.21735,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/18:4)+HCO2,810.56546,750.54432,679.47082,492.34595,474.33539,403.2619,224.06881,275.20165,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/19:0)+HCO2,832.64376,772.62262,701.54912,492.34595,474.33539,403.2619,224.06881,297.27995,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/20:0)+HCO2,846.65936,786.63822,715.56472,492.34595,474.33539,403.2619,224.06881,311.29555,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/20:1)+HCO2,844.64376,784.62262,713.54912,492.34595,474.33539,403.2619,224.06881,309.27995,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/20:2)+HCO2,842.62806,782.60692,711.53342,492.34595,474.33539,403.2619,224.06881,307.26425,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/20:3)+HCO2,840.61246,780.59132,709.51782,492.34595,474.33539,403.2619,224.06881,305.24865,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/20:4)+HCO2,838.59676,778.57562,707.50212,492.34595,474.33539,403.2619,224.06881,303.23295,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/20:5)+HCO2,836.58116,776.56002,705.48652,492.34595,474.33539,403.2619,224.06881,301.21735,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/21:0)+HCO2,860.67506,800.65392,729.58042,492.34595,474.33539,403.2619,224.06881,325.31125,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/22:0)+HCO2,874.69066,814.66952,743.59602,492.34595,474.33539,403.2619,224.06881,339.32685,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/22:1)+HCO2,872.67506,812.65392,741.58042,492.34595,474.33539,403.2619,224.06881,337.31125,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/22:2)+HCO2,870.65936,810.63822,739.56472,492.34595,474.33539,403.2619,224.06881,335.29555,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/22:3)+HCO2,868.64376,808.62262,737.54912,492.34595,474.33539,403.2619,224.06881,333.27995,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/22:4)+HCO2,866.62806,806.60692,735.53342,492.34595,474.33539,403.2619,224.06881,331.26425,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/22:5)+HCO2,864.61246,804.59132,733.51782,492.34595,474.33539,403.2619,224.06881,329.24865,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/22:6)+HCO2,862.59676,802.57562,731.50212,492.34595,474.33539,403.2619,224.06881,327.23295,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/23:0)+HCO2,888.70636,828.68522,757.61172,492.34595,474.33539,403.2619,224.06881,353.34255,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/24:0)+HCO2,902.72196,842.70082,771.62732,492.34595,474.33539,403.2619,224.06881,367.35815,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/24:1)+HCO2,900.70636,840.68522,769.61172,492.34595,474.33539,403.2619,224.06881,365.34255,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/25:0)+HCO2,916.73766,856.71652,785.64302,492.34595,474.33539,403.2619,224.06881,381.37385,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/26:0)+HCO2,930.75326,870.73212,799.65862,492.34595,474.33539,403.2619,224.06881,395.38945,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:0/8:0)+HCO2,678.47156,618.45042,547.37692,492.34595,474.33539,403.2619,224.06881,143.10775,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/10:0)+HCO2,704.48726,644.46612,573.39262,490.33035,472.31979,401.2463,224.06881,171.13905,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/12:0)+HCO2,732.51856,672.49742,601.42392,490.33035,472.31979,401.2463,224.06881,199.17035,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/13:0)+HCO2,746.53426,686.51312,615.43962,490.33035,472.31979,401.2463,224.06881,213.18605,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/14:0)+HCO2,760.54986,700.52872,629.45522,490.33035,472.31979,401.2463,224.06881,227.20165,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/14:1)+HCO2,758.53426,698.51312,627.43962,490.33035,472.31979,401.2463,224.06881,225.18605,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/15:0)+HCO2,774.56556,714.54442,643.47092,490.33035,472.31979,401.2463,224.06881,241.21735,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/15:1)+HCO2,772.54986,712.52872,641.45522,490.33035,472.31979,401.2463,224.06881,239.20165,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/16:0)+HCO2,788.58116,728.56002,657.48652,490.33035,472.31979,401.2463,224.06881,255.23295,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/16:1)+HCO2,786.56556,726.54442,655.47092,490.33035,472.31979,401.2463,224.06881,253.21735,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/17:0)+HCO2,802.59686,742.57572,671.50222,490.33035,472.31979,401.2463,224.06881,269.24865,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/17:1)+HCO2,800.58116,740.56002,669.48652,490.33035,472.31979,401.2463,224.06881,267.23295,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/17:2)+HCO2,798.56556,738.54442,667.47092,490.33035,472.31979,401.2463,224.06881,265.21735,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/18:0)+HCO2,816.61246,756.59132,685.51782,490.33035,472.31979,401.2463,224.06881,283.26425,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/18:1)+HCO2,814.59686,754.57572,683.50222,490.33035,472.31979,401.2463,224.06881,281.24865,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/18:2)+HCO2,812.58116,752.56002,681.48652,490.33035,472.31979,401.2463,224.06881,279.23295,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/18:3)+HCO2,810.56556,750.54442,679.47092,490.33035,472.31979,401.2463,224.06881,277.21735,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/18:4)+HCO2,808.54986,748.52872,677.45522,490.33035,472.31979,401.2463,224.06881,275.20165,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/19:0)+HCO2,830.62816,770.60702,699.53352,490.33035,472.31979,401.2463,224.06881,297.27995,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/20:0)+HCO2,844.64376,784.62262,713.54912,490.33035,472.31979,401.2463,224.06881,311.29555,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/20:1)+HCO2,842.62816,782.60702,711.53352,490.33035,472.31979,401.2463,224.06881,309.27995,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/20:2)+HCO2,840.61246,780.59132,709.51782,490.33035,472.31979,401.2463,224.06881,307.26425,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/20:3)+HCO2,838.59686,778.57572,707.50222,490.33035,472.31979,401.2463,224.06881,305.24865,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/20:4)+HCO2,836.58116,776.56002,705.48652,490.33035,472.31979,401.2463,224.06881,303.23295,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/20:5)+HCO2,834.56556,774.54442,703.47092,490.33035,472.31979,401.2463,224.06881,301.21735,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/21:0)+HCO2,858.65946,798.63832,727.56482,490.33035,472.31979,401.2463,224.06881,325.31125,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/22:0)+HCO2,872.67506,812.65392,741.58042,490.33035,472.31979,401.2463,224.06881,339.32685,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/22:1)+HCO2,870.65946,810.63832,739.56482,490.33035,472.31979,401.2463,224.06881,337.31125,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/22:2)+HCO2,868.64376,808.62262,737.54912,490.33035,472.31979,401.2463,224.06881,335.29555,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/22:3)+HCO2,866.62816,806.60702,735.53352,490.33035,472.31979,401.2463,224.06881,333.27995,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/22:4)+HCO2,864.61246,804.59132,733.51782,490.33035,472.31979,401.2463,224.06881,331.26425,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/22:5)+HCO2,862.59686,802.57572,731.50222,490.33035,472.31979,401.2463,224.06881,329.24865,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/22:6)+HCO2,860.58116,800.56002,729.48652,490.33035,472.31979,401.2463,224.06881,327.23295,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/23:0)+HCO2,886.69076,826.66962,755.59612,490.33035,472.31979,401.2463,224.06881,353.34255,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/24:0)+HCO2,900.70636,840.68522,769.61172,490.33035,472.31979,401.2463,224.06881,367.35815,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/24:1)+HCO2,898.69076,838.66962,767.59612,490.33035,472.31979,401.2463,224.06881,365.34255,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/25:0)+HCO2,914.72206,854.70092,783.62742,490.33035,472.31979,401.2463,224.06881,381.37385,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/26:0)+HCO2,928.73766,868.71652,797.64302,490.33035,472.31979,401.2463,224.06881,395.38945,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-18:1/8:0)+HCO2,676.45596,616.43482,545.36132,490.33035,472.31979,401.2463,224.06881,143.10775,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-20:0/10:0)+HCO2,734.53416,674.51302,603.43952,520.37725,502.36669,431.2932,224.06881,171.13905,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-20:0/12:0)+HCO2,762.56546,702.54432,631.47082,520.37725,502.36669,431.2932,224.06881,199.17035,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-20:0/13:0)+HCO2,776.58116,716.56002,645.48652,520.37725,502.36669,431.2932,224.06881,213.18605,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-20:0/14:0)+HCO2,790.59676,730.57562,659.50212,520.37725,502.36669,431.2932,224.06881,227.20165,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-20:0/14:1)+HCO2,788.58116,728.56002,657.48652,520.37725,502.36669,431.2932,224.06881,225.18605,168.04314,152.99586,96.96964,78.95852
