Cer-BS,[M-H]-,[M-H2O-H]-,[Sph+C2H2O-H]-,[Sph+C-H]-,[Sph-H5NO-H]-,[Sph-C2H7NO-H]-
Cer-BS(d23:1/20:1)-H,676.6244,658.6138,410.364,380.3534,333.3163,307.3006
Cer-BS(d23:1/20:2)-H,674.6088,656.5981,410.364,380.3534,333.3163,307.3006
Cer-BS(d23:1/21:0)-H,692.6557,674.6451,410.364,380.3534,333.3163,307.3006
Cer-BS(d23:1/21:1)-H,690.64,672.6295,410.364,380.3534,333.3163,307.3006
Cer-BS(d23:1/22:0)-H,706.6713,688.6608,410.364,380.3534,333.3163,307.3006
Cer-BS(d23:1/22:1)-H,704.6557,686.6451,410.364,380.3534,333.3163,307.3006
Cer-BS(d23:1/22:2)-H,702.64,684.6295,410.364,380.3534,333.3163,307.3006
Cer-BS(d23:1/23:0)-H,720.687,702.6764,410.364,380.3534,333.3163,307.3006
Cer-BS(d23:1/23:1)-H,718.6713,700.6608,410.364,380.3534,333.3163,307.3006
Cer-BS(d23:1/24:0)-H,734.7026,716.6921,410.364,380.3534,333.3163,307.3006
Cer-BS(d23:1/24:1)-H,732.687,714.6764,410.364,380.3534,333.3163,307.3006
Cer-BS(d23:1/24:2)-H,730.6713,712.6608,410.364,380.3534,333.3163,307.3006
Cer-BS(d23:1/25:0)-H,748.7183,730.7077,410.364,380.3534,333.3163,307.3006
Cer-BS(d23:1/25:1)-H,746.7026,728.6921,410.364,380.3534,333.3163,307.3006
Cer-BS(d23:1/26:0)-H,762.7339,744.7234,410.364,380.3534,333.3163,307.3006
Cer-BS(d23:1/26:1)-H,760.7183,742.7077,410.364,380.3534,333.3163,307.3006
Cer-BS(d23:1/26:2)-H,758.7026,740.6921,410.364,380.3534,333.3163,307.3006
Cer-BS(d23:1/27:0)-H,776.7496,758.739,410.364,380.3534,333.3163,307.3006
Cer-BS(d23:1/27:1)-H,774.7339,756.7234,410.364,380.3534,333.3163,307.3006
Cer-BS(d23:1/28:0)-H,790.7653,772.7547,410.364,380.3534,333.3163,307.3006
Cer-BS(d23:1/28:1)-H,788.7496,770.739,410.364,380.3534,333.3163,307.3006
Cer-BS(d23:1/28:2)-H,786.7339,768.7234,410.364,380.3534,333.3163,307.3006
Cer-BS(d23:1/29:0)-H,804.7809,786.7703,410.364,380.3534,333.3163,307.3006
Cer-BS(d23:1/29:1)-H,802.7653,784.7547,410.364,380.3534,333.3163,307.3006
Cer-BS(d23:1/30:0)-H,818.7966,800.7859,410.364,380.3534,333.3163,307.3006
Cer-BS(d23:1/30:1)-H,816.7809,798.7703,410.364,380.3534,333.3163,307.3006
Cer-BS(d23:1/30:2)-H,814.7653,796.7547,410.364,380.3534,333.3163,307.3006
Cer-BS(d23:1/31:0)-H,832.8122,814.8016,410.364,380.3534,333.3163,307.3006
Cer-BS(d23:1/31:1)-H,830.7966,812.7859,410.364,380.3534,333.3163,307.3006
Cer-BS(d23:1/32:0)-H,846.8278,828.8173,410.364,380.3534,333.3163,307.3006
Cer-BS(d23:1/32:1)-H,844.8122,826.8016,410.364,380.3534,333.3163,307.3006
Cer-BS(d23:1/32:2)-H,842.7966,824.7859,410.364,380.3534,333.3163,307.3006
Cer-BS(d23:1/33:0)-H,860.8435,842.8329,410.364,380.3534,333.3163,307.3006
Cer-BS(d23:1/33:1)-H,858.8278,840.8173,410.364,380.3534,333.3163,307.3006
Cer-BS(d23:1/34:0)-H,874.8591,856.8486,410.364,380.3534,333.3163,307.3006
Cer-BS(d23:1/34:1)-H,872.8435,854.8329,410.364,380.3534,333.3163,307.3006
Cer-BS(d23:1/34:2)-H,870.8278,852.8173,410.364,380.3534,333.3163,307.3006
Cer-BS(d23:1/35:0)-H,888.8748,870.8642,410.364,380.3534,333.3163,307.3006
Cer-BS(d23:1/35:1)-H,886.8591,868.8486,410.364,380.3534,333.3163,307.3006
Cer-BS(d23:1/36:0)-H,902.8904,884.8799,410.364,380.3534,333.3163,307.3006
Cer-BS(d23:1/36:1)-H,900.8748,882.8642,410.364,380.3534,333.3163,307.3006
Cer-BS(d23:1/36:2)-H,898.8591,880.8486,410.364,380.3534,333.3163,307.3006
Cer-BS(d23:1/38:0)-H,930.9218,912.9112,410.364,380.3534,333.3163,307.3006
Cer-BS(d23:1/38:1)-H,928.9061,910.8955,410.364,380.3534,333.3163,307.3006
Cer-BS(d23:1/38:2)-H,926.8904,908.8799,410.364,380.3534,333.3163,307.3006
Cer-BS(d23:1/40:0)-H,958.9531,940.9424,410.364,380.3534,333.3163,307.3006
Cer-BS(d23:1/40:1)-H,956.9374,938.9268,410.364,380.3534,333.3163,307.3006
Cer-BS(d23:1/40:2)-H,954.9218,936.9112,410.364,380.3534,333.3163,307.3006
Cer-BS(d23:1/42:0)-H,986.9843,968.9738,410.364,380.3534,333.3163,307.3006
Cer-BS(d23:1/42:1)-H,984.9687,966.9581,410.364,380.3534,333.3163,307.3006
Cer-BS(d23:1/42:2)-H,982.9531,964.9424,410.364,380.3534,333.3163,307.3006
Cer-BS(d23:2/12:0)-H,564.4992,546.4886,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/12:1)-H,562.4835,544.473,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/13:0)-H,578.5148,560.5043,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/13:1)-H,576.4992,558.4886,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/14:0)-H,592.5305,574.5199,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/14:1)-H,590.5148,572.5043,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/15:0)-H,606.5461,588.5356,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/15:1)-H,604.5305,586.5199,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/16:0)-H,620.5618,602.5512,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/16:1)-H,618.5461,600.5356,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/16:2)-H,616.5305,598.5199,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/17:0)-H,634.5775,616.5669,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/18:0)-H,648.5931,630.5825,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/18:1)-H,646.5775,628.5669,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/18:2)-H,644.5618,626.5512,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/19:0)-H,662.6088,644.5981,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/19:1)-H,660.5931,642.5825,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/20:0)-H,676.6244,658.6138,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/20:1)-H,674.6088,656.5981,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/20:2)-H,672.5931,654.5825,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/21:0)-H,690.64,672.6295,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/21:1)-H,688.6244,670.6138,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/22:0)-H,704.6557,686.6451,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/22:1)-H,702.64,684.6295,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/22:2)-H,700.6244,682.6138,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/23:0)-H,718.6713,700.6608,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/23:1)-H,716.6557,698.6451,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/24:0)-H,732.687,714.6764,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/24:1)-H,730.6713,712.6608,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/24:2)-H,728.6557,710.6451,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/25:0)-H,746.7026,728.6921,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/25:1)-H,744.687,726.6764,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/26:0)-H,760.7183,742.7077,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/26:1)-H,758.7026,740.6921,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/26:2)-H,756.687,738.6764,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/27:0)-H,774.7339,756.7234,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/27:1)-H,772.7183,754.7077,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/28:0)-H,788.7496,770.739,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/28:1)-H,786.7339,768.7234,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/28:2)-H,784.7183,766.7077,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/29:0)-H,802.7653,784.7547,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/29:1)-H,800.7496,782.739,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/30:0)-H,816.7809,798.7703,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/30:1)-H,814.7653,796.7547,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/30:2)-H,812.7496,794.739,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/31:0)-H,830.7966,812.7859,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/31:1)-H,828.7809,810.7703,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/32:0)-H,844.8122,826.8016,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/32:1)-H,842.7966,824.7859,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/32:2)-H,840.7809,822.7703,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/33:0)-H,858.8278,840.8173,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/33:1)-H,856.8122,838.8016,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/34:0)-H,872.8435,854.8329,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/34:1)-H,870.8278,852.8173,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/34:2)-H,868.8122,850.8016,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/35:0)-H,886.8591,868.8486,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/35:1)-H,884.8435,866.8329,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/36:0)-H,900.8748,882.8642,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/36:1)-H,898.8591,880.8486,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/36:2)-H,896.8435,878.8329,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/38:0)-H,928.9061,910.8955,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/38:1)-H,926.8904,908.8799,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/38:2)-H,924.8748,906.8642,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/40:0)-H,956.9374,938.9268,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/40:1)-H,954.9218,936.9112,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/40:2)-H,952.9061,934.8955,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/42:0)-H,984.9687,966.9581,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/42:1)-H,982.9531,964.9424,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:2/42:2)-H,980.9374,962.9268,408.3483,378.3378,331.3006,305.285
Cer-BS(d23:3/12:0)-H,562.4835,544.473,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/12:1)-H,560.4679,542.4573,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/13:0)-H,576.4992,558.4886,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/13:1)-H,574.4835,556.473,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/14:0)-H,590.5148,572.5043,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/14:1)-H,588.4992,570.4886,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/15:0)-H,604.5305,586.5199,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/15:1)-H,602.5148,584.5043,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/16:0)-H,618.5461,600.5356,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/16:1)-H,616.5305,598.5199,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/16:2)-H,614.5148,596.5043,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/17:0)-H,632.5618,614.5512,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/18:0)-H,646.5775,628.5669,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/18:1)-H,644.5618,626.5512,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/18:2)-H,642.5461,624.5356,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/19:0)-H,660.5931,642.5825,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/19:1)-H,658.5775,640.5669,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/20:0)-H,674.6088,656.5981,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/20:1)-H,672.5931,654.5825,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/20:2)-H,670.5775,652.5669,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/21:0)-H,688.6244,670.6138,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/21:1)-H,686.6088,668.5981,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/22:0)-H,702.64,684.6295,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/22:1)-H,700.6244,682.6138,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/22:2)-H,698.6088,680.5981,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/23:0)-H,716.6557,698.6451,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/23:1)-H,714.64,696.6295,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/24:0)-H,730.6713,712.6608,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/24:1)-H,728.6557,710.6451,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/24:2)-H,726.64,708.6295,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/25:0)-H,744.687,726.6764,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/25:1)-H,742.6713,724.6608,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/26:0)-H,758.7026,740.6921,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/26:1)-H,756.687,738.6764,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/26:2)-H,754.6713,736.6608,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/27:0)-H,772.7183,754.7077,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/27:1)-H,770.7026,752.6921,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/28:0)-H,786.7339,768.7234,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/28:1)-H,784.7183,766.7077,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/28:2)-H,782.7026,764.6921,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/29:0)-H,800.7496,782.739,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/29:1)-H,798.7339,780.7234,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/30:0)-H,814.7653,796.7547,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/30:1)-H,812.7496,794.739,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/30:2)-H,810.7339,792.7234,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/31:0)-H,828.7809,810.7703,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/31:1)-H,826.7653,808.7547,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/32:0)-H,842.7966,824.7859,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/32:1)-H,840.7809,822.7703,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/32:2)-H,838.7653,820.7547,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/33:0)-H,856.8122,838.8016,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/33:1)-H,854.7966,836.7859,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/34:0)-H,870.8278,852.8173,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/34:1)-H,868.8122,850.8016,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/34:2)-H,866.7966,848.7859,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/35:0)-H,884.8435,866.8329,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/35:1)-H,882.8278,864.8173,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/36:0)-H,898.8591,880.8486,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/36:1)-H,896.8435,878.8329,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/36:2)-H,894.8278,876.8173,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/38:0)-H,926.8904,908.8799,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/38:1)-H,924.8748,906.8642,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/38:2)-H,922.8591,904.8486,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/40:0)-H,954.9218,936.9112,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/40:1)-H,952.9061,934.8955,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/40:2)-H,950.8904,932.8799,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/42:0)-H,982.9531,964.9424,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/42:1)-H,980.9374,962.9268,406.3327,376.3221,329.285,303.2693
Cer-BS(d23:3/42:2)-H,978.9218,960.9112,406.3327,376.3221,329.285,303.2693
Cer-BS(d24:1/12:0)-H,580.5305,562.5199,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/12:1)-H,578.5148,560.5043,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/13:0)-H,594.5461,576.5356,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/13:1)-H,592.5305,574.5199,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/14:0)-H,608.5618,590.5512,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/14:1)-H,606.5461,588.5356,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/15:0)-H,622.5775,604.5669,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/15:1)-H,620.5618,602.5512,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/16:0)-H,636.5931,618.5825,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/16:1)-H,634.5775,616.5669,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/16:2)-H,632.5618,614.5512,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/17:0)-H,650.6088,632.5981,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/18:0)-H,664.6244,646.6138,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/18:1)-H,662.6088,644.5981,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/18:2)-H,660.5931,642.5825,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/19:0)-H,678.64,660.6295,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/19:1)-H,676.6244,658.6138,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/20:0)-H,692.6557,674.6451,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/20:1)-H,690.64,672.6295,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/20:2)-H,688.6244,670.6138,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/21:0)-H,706.6713,688.6608,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/21:1)-H,704.6557,686.6451,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/22:0)-H,720.687,702.6764,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/22:1)-H,718.6713,700.6608,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/22:2)-H,716.6557,698.6451,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/23:0)-H,734.7026,716.6921,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/23:1)-H,732.687,714.6764,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/24:0)-H,748.7183,730.7077,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/24:1)-H,746.7026,728.6921,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/24:2)-H,744.687,726.6764,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/25:0)-H,762.7339,744.7234,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/25:1)-H,760.7183,742.7077,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/26:0)-H,776.7496,758.739,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/26:1)-H,774.7339,756.7234,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/26:2)-H,772.7183,754.7077,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/27:0)-H,790.7653,772.7547,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/27:1)-H,788.7496,770.739,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/28:0)-H,804.7809,786.7703,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/28:1)-H,802.7653,784.7547,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/28:2)-H,800.7496,782.739,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/29:0)-H,818.7966,800.7859,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/29:1)-H,816.7809,798.7703,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/30:0)-H,832.8122,814.8016,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/30:1)-H,830.7966,812.7859,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/30:2)-H,828.7809,810.7703,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/31:0)-H,846.8278,828.8173,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/31:1)-H,844.8122,826.8016,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/32:0)-H,860.8435,842.8329,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/32:1)-H,858.8278,840.8173,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/32:2)-H,856.8122,838.8016,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/33:0)-H,874.8591,856.8486,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/33:1)-H,872.8435,854.8329,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/34:0)-H,888.8748,870.8642,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/34:1)-H,886.8591,868.8486,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/34:2)-H,884.8435,866.8329,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/35:0)-H,902.8904,884.8799,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/35:1)-H,900.8748,882.8642,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/36:0)-H,916.9061,898.8955,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/36:1)-H,914.8904,896.8799,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/36:2)-H,912.8748,894.8642,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/38:0)-H,944.9374,926.9268,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/38:1)-H,942.9218,924.9112,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/38:2)-H,940.9061,922.8955,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/40:0)-H,972.9687,954.9581,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/40:1)-H,970.9531,952.9424,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/40:2)-H,968.9374,950.9268,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/42:0)-H,1001,982.9894,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/42:1)-H,998.9843,980.9738,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:1/42:2)-H,996.9687,978.9581,424.3796,394.369,347.3319,321.3163
Cer-BS(d24:2/12:0)-H,578.5148,560.5043,422.364,392.3534,345.3163,319.3006
Cer-BS(d24:2/12:1)-H,576.4992,558.4886,422.364,392.3534,345.3163,319.3006
Cer-BS(d24:2/13:0)-H,592.5305,574.5199,422.364,392.3534,345.3163,319.3006
Cer-BS(d24:2/13:1)-H,590.5148,572.5043,422.364,392.3534,345.3163,319.3006
Cer-BS(d24:2/14:0)-H,606.5461,588.5356,422.364,392.3534,345.3163,319.3006
Cer-BS(d24:2/14:1)-H,604.5305,586.5199,422.364,392.3534,345.3163,319.3006
Cer-BS(d24:2/15:0)-H,620.5618,602.5512,422.364,392.3534,345.3163,319.3006
Cer-BS(d24:2/15:1)-H,618.5461,600.5356,422.364,392.3534,345.3163,319.3006
Cer-BS(d24:2/16:0)-H,634.5775,616.5669,422.364,392.3534,345.3163,319.3006
Cer-BS(d24:2/16:1)-H,632.5618,614.5512,422.364,392.3534,345.3163,319.3006
Cer-BS(d24:2/16:2)-H,630.5461,612.5356,422.364,392.3534,345.3163,319.3006
Cer-BS(d24:2/17:0)-H,648.5931,630.5825,422.364,392.3534,345.3163,319.3006
Cer-BS(d24:2/18:0)-H,662.6088,644.5981,422.364,392.3534,345.3163,319.3006
Cer-BS(d24:2/18:1)-H,660.5931,642.5825,422.364,392.3534,345.3163,319.3006
Cer-BS(d24:2/18:2)-H,658.5775,640.5669,422.364,392.3534,345.3163,319.3006
Cer-BS(d24:2/19:0)-H,676.6244,658.6138,422.364,392.3534,345.3163,319.3006
Cer-BS(d24:2/19:1)-H,674.6088,656.5981,422.364,392.3534,345.3163,319.3006
Cer-BS(d24:2/20:0)-H,690.64,672.6295,422.364,392.3534,345.3163,319.3006
Cer-BS(d24:2/20:1)-H,688.6244,670.6138,422.364,392.3534,345.3163,319.3006
Cer-BS(d24:2/20:2)-H,686.6088,668.5981,422.364,392.3534,345.3163,319.3006
Cer-BS(d24:2/21:0)-H,704.6557,686.6451,422.364,392.3534,345.3163,319.3006
Cer-BS(d24:2/21:1)-H,702.64,684.6295,422.364,392.3534,345.3163,319.3006
Cer-BS(d24:2/22:0)-H,718.6713,700.6608,422.364,392.3534,345.3163,319.3006
Cer-BS(d24:2/22:1)-H,716.6557,698.6451,422.364,392.3534,345.3163,319.3006
Cer-BS(d24:2/22:2)-H,714.64,696.6295,422.364,392.3534,345.3163,319.3006
Cer-BS(d24:2/23:0)-H,732.687,714.6764,422.364,392.3534,345.3163,319.3006
Cer-BS(d24:2/23:1)-H,730.6713,712.6608,422.364,392.3534,345.3163,319.3006
Cer-BS(d24:2/24:0)-H,746.7026,728.6921,422.364,392.3534,345.3163,319.3006
Cer-BS(d24:2/24:1)-H,744.687,726.6764,422.364,392.3534,345.3163,319.3006
Cer-BS(d24:2/24:2)-H,742.6713,724.6608,422.364,392.3534,345.3163,319.3006
Cer-BS(d24:2/25:0)-H,760.7183,742.7077,422.364,392.3534,345.3163,319.3006
Cer-BS(d24:2/25:1)-H,758.7026,740.6921,422.364,392.3534,345.3163,319.3006
