Cer_BDS,[M+HCO2]-,[M-H]-,[Sph+CC=O-H]-,[Sph+C=O-CO-3H]-,[Sph-H]-,[Sph-NCCO-3H]-
Cer_BDS(d20:0/29:1)+HCO2,808.73995,762.73445,370.33325,338.30705,328.32265,267.26985
Cer_BDS(d20:0/29:2)+HCO2,806.72435,760.71885,370.33325,338.30705,328.32265,267.26985
Cer_BDS(d20:0/29:3)+HCO2,804.70865,758.70315,370.33325,338.30705,328.32265,267.26985
Cer_BDS(d20:0/29:4)+HCO2,802.69295,756.68755,370.33325,338.30705,328.32265,267.26985
Cer_BDS(d20:0/30:0)+HCO2,824.77125,778.76585,370.33325,338.30705,328.32265,267.26985
Cer_BDS(d20:0/30:1)+HCO2,822.75565,776.75015,370.33325,338.30705,328.32265,267.26985
Cer_BDS(d20:0/30:2)+HCO2,820.73995,774.73445,370.33325,338.30705,328.32265,267.26985
Cer_BDS(d20:0/30:3)+HCO2,818.72435,772.71885,370.33325,338.30705,328.32265,267.26985
Cer_BDS(d20:0/30:4)+HCO2,816.70865,770.70315,370.33325,338.30705,328.32265,267.26985
Cer_BDS(d20:0/31:0)+HCO2,838.78695,792.78145,370.33325,338.30705,328.32265,267.26985
Cer_BDS(d20:0/31:1)+HCO2,836.77125,790.76585,370.33325,338.30705,328.32265,267.26985
Cer_BDS(d20:0/31:2)+HCO2,834.75565,788.75015,370.33325,338.30705,328.32265,267.26985
Cer_BDS(d20:0/31:3)+HCO2,832.73995,786.73445,370.33325,338.30705,328.32265,267.26985
Cer_BDS(d20:0/31:4)+HCO2,830.72435,784.71885,370.33325,338.30705,328.32265,267.26985
Cer_BDS(d20:0/32:0)+HCO2,852.80255,806.79715,370.33325,338.30705,328.32265,267.26985
Cer_BDS(d20:0/32:1)+HCO2,850.78695,804.78145,370.33325,338.30705,328.32265,267.26985
Cer_BDS(d20:0/32:2)+HCO2,848.77125,802.76585,370.33325,338.30705,328.32265,267.26985
Cer_BDS(d20:0/32:3)+HCO2,846.75565,800.75015,370.33325,338.30705,328.32265,267.26985
Cer_BDS(d20:0/32:4)+HCO2,844.73995,798.73445,370.33325,338.30705,328.32265,267.26985
Cer_BDS(d20:0/33:0)+HCO2,866.81825,820.81275,370.33325,338.30705,328.32265,267.26985
Cer_BDS(d20:0/33:1)+HCO2,864.80255,818.79715,370.33325,338.30705,328.32265,267.26985
Cer_BDS(d20:0/33:2)+HCO2,862.78695,816.78145,370.33325,338.30705,328.32265,267.26985
Cer_BDS(d20:0/33:3)+HCO2,860.77125,814.76585,370.33325,338.30705,328.32265,267.26985
Cer_BDS(d20:0/33:4)+HCO2,858.75565,812.75015,370.33325,338.30705,328.32265,267.26985
Cer_BDS(d20:0/34:0)+HCO2,880.83385,834.82835,370.33325,338.30705,328.32265,267.26985
Cer_BDS(d20:0/34:1)+HCO2,878.81825,832.81275,370.33325,338.30705,328.32265,267.26985
Cer_BDS(d20:0/34:2)+HCO2,876.80255,830.79715,370.33325,338.30705,328.32265,267.26985
Cer_BDS(d20:0/34:3)+HCO2,874.78695,828.78145,370.33325,338.30705,328.32265,267.26985
Cer_BDS(d20:0/34:4)+HCO2,872.77125,826.76585,370.33325,338.30705,328.32265,267.26985
Cer_BDS(d20:0/35:0)+HCO2,894.84955,848.84405,370.33325,338.30705,328.32265,267.26985
Cer_BDS(d20:0/35:1)+HCO2,892.83385,846.82835,370.33325,338.30705,328.32265,267.26985
Cer_BDS(d20:0/35:2)+HCO2,890.81825,844.81275,370.33325,338.30705,328.32265,267.26985
Cer_BDS(d20:0/35:3)+HCO2,888.80255,842.79715,370.33325,338.30705,328.32265,267.26985
Cer_BDS(d20:0/35:4)+HCO2,886.78695,840.78145,370.33325,338.30705,328.32265,267.26985
Cer_BDS(d20:0/36:0)+HCO2,908.86515,862.85965,370.33325,338.30705,328.32265,267.26985
Cer_BDS(d20:0/36:1)+HCO2,906.84955,860.84405,370.33325,338.30705,328.32265,267.26985
Cer_BDS(d20:0/36:2)+HCO2,904.83385,858.82835,370.33325,338.30705,328.32265,267.26985
Cer_BDS(d20:0/36:3)+HCO2,902.81825,856.81275,370.33325,338.30705,328.32265,267.26985
Cer_BDS(d20:0/36:4)+HCO2,900.80255,854.79715,370.33325,338.30705,328.32265,267.26985
Cer_BDS(d21:0/14:0)+HCO2,614.53645,568.53105,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/14:1)+HCO2,612.52085,566.51535,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/14:2)+HCO2,610.50515,564.49975,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/14:3)+HCO2,608.48955,562.48405,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/15:0)+HCO2,628.55215,582.54665,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/15:1)+HCO2,626.53645,580.53105,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/15:2)+HCO2,624.52085,578.51535,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/15:3)+HCO2,622.50515,576.49975,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/16:0)+HCO2,642.56785,596.56235,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/16:1)+HCO2,640.55215,594.54665,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/16:2)+HCO2,638.53645,592.53105,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/16:3)+HCO2,636.52085,590.51535,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/16:4)+HCO2,634.50515,588.49975,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/17:0)+HCO2,656.58345,610.57805,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/17:1)+HCO2,654.56785,608.56235,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/17:2)+HCO2,652.55215,606.54665,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/17:3)+HCO2,650.53645,604.53105,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/18:0)+HCO2,670.59915,624.59365,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/18:1)+HCO2,668.58345,622.57805,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/18:2)+HCO2,666.56785,620.56235,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/18:3)+HCO2,664.55215,618.54665,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/18:4)+HCO2,662.53645,616.53105,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/19:0)+HCO2,684.61475,638.60935,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/19:1)+HCO2,682.59915,636.59365,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/19:2)+HCO2,680.58345,634.57805,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/19:3)+HCO2,678.56785,632.56235,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/19:4)+HCO2,676.55215,630.54665,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/20:0)+HCO2,698.63045,652.62495,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/20:1)+HCO2,696.61475,650.60935,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/20:2)+HCO2,694.59915,648.59365,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/20:3)+HCO2,692.58345,646.57805,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/20:4)+HCO2,690.56785,644.56235,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/21:0)+HCO2,712.64605,666.64055,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/21:1)+HCO2,710.63045,664.62495,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/21:2)+HCO2,708.61475,662.60935,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/21:3)+HCO2,706.59915,660.59365,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/21:4)+HCO2,704.58345,658.57805,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/22:0)+HCO2,726.66165,680.65625,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/22:1)+HCO2,724.64605,678.64055,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/22:2)+HCO2,722.63045,676.62495,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/22:3)+HCO2,720.61475,674.60935,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/22:4)+HCO2,718.59915,672.59365,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/23:0)+HCO2,740.67735,694.67185,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/23:1)+HCO2,738.66165,692.65625,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/23:2)+HCO2,736.64605,690.64055,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/23:3)+HCO2,734.63045,688.62495,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/23:4)+HCO2,732.61475,686.60935,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/24:0)+HCO2,754.69295,708.68755,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/24:1)+HCO2,752.67735,706.67185,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/24:2)+HCO2,750.66165,704.65625,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/24:3)+HCO2,748.64605,702.64055,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/24:4)+HCO2,746.63045,700.62495,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/25:0)+HCO2,768.70865,722.70315,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/25:1)+HCO2,766.69295,720.68755,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/25:2)+HCO2,764.67735,718.67185,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/25:3)+HCO2,762.66165,716.65625,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/25:4)+HCO2,760.64605,714.64055,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/26:0)+HCO2,782.72435,736.71885,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/26:1)+HCO2,780.70865,734.70315,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/26:2)+HCO2,778.69295,732.68755,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/26:3)+HCO2,776.67735,730.67185,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/26:4)+HCO2,774.66165,728.65625,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/27:0)+HCO2,796.73995,750.73445,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/27:1)+HCO2,794.72435,748.71885,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/27:2)+HCO2,792.70865,746.70315,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/27:3)+HCO2,790.69295,744.68755,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/27:4)+HCO2,788.67735,742.67185,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/28:0)+HCO2,810.75565,764.75015,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/28:1)+HCO2,808.73995,762.73445,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/28:2)+HCO2,806.72435,760.71885,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/28:3)+HCO2,804.70865,758.70315,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/28:4)+HCO2,802.69295,756.68755,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/29:0)+HCO2,824.77125,778.76585,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/29:1)+HCO2,822.75565,776.75015,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/29:2)+HCO2,820.73995,774.73445,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/29:3)+HCO2,818.72435,772.71885,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/29:4)+HCO2,816.70865,770.70315,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/30:0)+HCO2,838.78695,792.78145,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/30:1)+HCO2,836.77125,790.76585,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/30:2)+HCO2,834.75565,788.75015,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/30:3)+HCO2,832.73995,786.73445,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/30:4)+HCO2,830.72435,784.71885,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/31:0)+HCO2,852.80255,806.79715,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/31:1)+HCO2,850.78695,804.78145,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/31:2)+HCO2,848.77125,802.76585,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/31:3)+HCO2,846.75565,800.75015,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/31:4)+HCO2,844.73995,798.73445,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/32:0)+HCO2,866.81825,820.81275,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/32:1)+HCO2,864.80255,818.79715,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/32:2)+HCO2,862.78695,816.78145,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/32:3)+HCO2,860.77125,814.76585,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/32:4)+HCO2,858.75565,812.75015,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/33:0)+HCO2,880.83385,834.82835,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/33:1)+HCO2,878.81825,832.81275,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/33:2)+HCO2,876.80255,830.79715,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/33:3)+HCO2,874.78695,828.78145,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/33:4)+HCO2,872.77125,826.76585,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/34:0)+HCO2,894.84955,848.84405,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/34:1)+HCO2,892.83385,846.82835,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/34:2)+HCO2,890.81825,844.81275,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/34:3)+HCO2,888.80255,842.79715,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/34:4)+HCO2,886.78695,840.78145,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/35:0)+HCO2,908.86515,862.85965,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/35:1)+HCO2,906.84955,860.84405,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/35:2)+HCO2,904.83385,858.82835,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/35:3)+HCO2,902.81825,856.81275,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/35:4)+HCO2,900.80255,854.79715,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/36:0)+HCO2,922.88075,876.87535,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/36:1)+HCO2,920.86515,874.85965,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/36:2)+HCO2,918.84955,872.84405,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/36:3)+HCO2,916.83385,870.82835,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d21:0/36:4)+HCO2,914.81825,868.81275,384.34885,352.32265,342.33835,281.28555
Cer_BDS(d22:0/14:0)+HCO2,628.55215,582.54665,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/14:1)+HCO2,626.53645,580.53105,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/14:2)+HCO2,624.52085,578.51535,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/14:3)+HCO2,622.50515,576.49975,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/15:0)+HCO2,642.56785,596.56235,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/15:1)+HCO2,640.55215,594.54665,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/15:2)+HCO2,638.53645,592.53105,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/15:3)+HCO2,636.52085,590.51535,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/16:0)+HCO2,656.58345,610.57805,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/16:1)+HCO2,654.56785,608.56235,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/16:2)+HCO2,652.55215,606.54665,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/16:3)+HCO2,650.53645,604.53105,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/16:4)+HCO2,648.52085,602.51535,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/17:0)+HCO2,670.59915,624.59365,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/17:1)+HCO2,668.58345,622.57805,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/17:2)+HCO2,666.56785,620.56235,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/17:3)+HCO2,664.55215,618.54665,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/18:0)+HCO2,684.61475,638.60935,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/18:1)+HCO2,682.59915,636.59365,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/18:2)+HCO2,680.58345,634.57805,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/18:3)+HCO2,678.56785,632.56235,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/18:4)+HCO2,676.55215,630.54665,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/19:0)+HCO2,698.63045,652.62495,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/19:1)+HCO2,696.61475,650.60935,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/19:2)+HCO2,694.59915,648.59365,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/19:3)+HCO2,692.58345,646.57805,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/19:4)+HCO2,690.56785,644.56235,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/20:0)+HCO2,712.64605,666.64055,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/20:1)+HCO2,710.63045,664.62495,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/20:2)+HCO2,708.61475,662.60935,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/20:3)+HCO2,706.59915,660.59365,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/20:4)+HCO2,704.58345,658.57805,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/21:0)+HCO2,726.66165,680.65625,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/21:1)+HCO2,724.64605,678.64055,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/21:2)+HCO2,722.63045,676.62495,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/21:3)+HCO2,720.61475,674.60935,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/21:4)+HCO2,718.59915,672.59365,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/22:0)+HCO2,740.67735,694.67185,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/22:1)+HCO2,738.66165,692.65625,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/22:2)+HCO2,736.64605,690.64055,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/22:3)+HCO2,734.63045,688.62495,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/22:4)+HCO2,732.61475,686.60935,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/23:0)+HCO2,754.69295,708.68755,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/23:1)+HCO2,752.67735,706.67185,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/23:2)+HCO2,750.66165,704.65625,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/23:3)+HCO2,748.64605,702.64055,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/23:4)+HCO2,746.63045,700.62495,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/24:0)+HCO2,768.70865,722.70315,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/24:1)+HCO2,766.69295,720.68755,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/24:2)+HCO2,764.67735,718.67185,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/24:3)+HCO2,762.66165,716.65625,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/24:4)+HCO2,760.64605,714.64055,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/25:0)+HCO2,782.72435,736.71885,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/25:1)+HCO2,780.70865,734.70315,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/25:2)+HCO2,778.69295,732.68755,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/25:3)+HCO2,776.67735,730.67185,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/25:4)+HCO2,774.66165,728.65625,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/26:0)+HCO2,796.73995,750.73445,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/26:1)+HCO2,794.72435,748.71885,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/26:2)+HCO2,792.70865,746.70315,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/26:3)+HCO2,790.69295,744.68755,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/26:4)+HCO2,788.67735,742.67185,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/27:0)+HCO2,810.75565,764.75015,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/27:1)+HCO2,808.73995,762.73445,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/27:2)+HCO2,806.72435,760.71885,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/27:3)+HCO2,804.70865,758.70315,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/27:4)+HCO2,802.69295,756.68755,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/28:0)+HCO2,824.77125,778.76585,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/28:1)+HCO2,822.75565,776.75015,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/28:2)+HCO2,820.73995,774.73445,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/28:3)+HCO2,818.72435,772.71885,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/28:4)+HCO2,816.70865,770.70315,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/29:0)+HCO2,838.78695,792.78145,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/29:1)+HCO2,836.77125,790.76585,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/29:2)+HCO2,834.75565,788.75015,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/29:3)+HCO2,832.73995,786.73445,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/29:4)+HCO2,830.72435,784.71885,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/30:0)+HCO2,852.80255,806.79715,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/30:1)+HCO2,850.78695,804.78145,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/30:2)+HCO2,848.77125,802.76585,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/30:3)+HCO2,846.75565,800.75015,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/30:4)+HCO2,844.73995,798.73445,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/31:0)+HCO2,866.81825,820.81275,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/31:1)+HCO2,864.80255,818.79715,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/31:2)+HCO2,862.78695,816.78145,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/31:3)+HCO2,860.77125,814.76585,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/31:4)+HCO2,858.75565,812.75015,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/32:0)+HCO2,880.83385,834.82835,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/32:1)+HCO2,878.81825,832.81275,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/32:2)+HCO2,876.80255,830.79715,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/32:3)+HCO2,874.78695,828.78145,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/32:4)+HCO2,872.77125,826.76585,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/33:0)+HCO2,894.84955,848.84405,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/33:1)+HCO2,892.83385,846.82835,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/33:2)+HCO2,890.81825,844.81275,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/33:3)+HCO2,888.80255,842.79715,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/33:4)+HCO2,886.78695,840.78145,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/34:0)+HCO2,908.86515,862.85965,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/34:1)+HCO2,906.84955,860.84405,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/34:2)+HCO2,904.83385,858.82835,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/34:3)+HCO2,902.81825,856.81275,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/34:4)+HCO2,900.80255,854.79715,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/35:0)+HCO2,922.88075,876.87535,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/35:1)+HCO2,920.86515,874.85965,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/35:2)+HCO2,918.84955,872.84405,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/35:3)+HCO2,916.83385,870.82835,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/35:4)+HCO2,914.81825,868.81275,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/36:0)+HCO2,936.89645,890.89095,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/36:1)+HCO2,934.88075,888.87535,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/36:2)+HCO2,932.86515,886.85965,398.36455,366.33835,356.35395,295.30125
Cer_BDS(d22:0/36:3)+HCO2,930.84955,884.84405,398.36455,366.33835,356.35395,295.30125
