GlcCer_NS,[M+HCO2]-,[M-H]-,[M-C6H10O5-H]-,[FAA+C2H3-H]-,[FAA-OH-H]-,[Sph-C2H7NO-H]-,[C6H11O6]-
GlcCer_NS(d17:2/21:1)+HCO2,796.59449,750.58899,588.53619,348.32731,305.30921,221.19162,179.05615
GlcCer_NS(d17:2/21:2)+HCO2,794.57883,748.57333,586.52053,346.31165,303.29355,221.19162,179.05615
GlcCer_NS(d17:2/21:3)+HCO2,792.56317,746.55767,584.50487,344.29599,301.27789,221.19162,179.05615
GlcCer_NS(d17:2/21:4)+HCO2,790.54751,744.54201,582.48921,342.28033,299.26223,221.19162,179.05615
GlcCer_NS(d17:2/22:0)+HCO2,812.62581,766.62031,604.56751,364.35863,321.34053,221.19162,179.05615
GlcCer_NS(d17:2/22:1)+HCO2,810.61015,764.60465,602.55185,362.34297,319.32487,221.19162,179.05615
GlcCer_NS(d17:2/22:2)+HCO2,808.59449,762.58899,600.53619,360.32731,317.30921,221.19162,179.05615
GlcCer_NS(d17:2/22:3)+HCO2,806.57883,760.57333,598.52053,358.31165,315.29355,221.19162,179.05615
GlcCer_NS(d17:2/22:4)+HCO2,804.56317,758.55767,596.50487,356.29599,313.27789,221.19162,179.05615
GlcCer_NS(d17:2/23:0)+HCO2,826.64147,780.63597,618.58317,378.37429,335.35619,221.19162,179.05615
GlcCer_NS(d17:2/23:1)+HCO2,824.62581,778.62031,616.56751,376.35863,333.34053,221.19162,179.05615
GlcCer_NS(d17:2/23:2)+HCO2,822.61015,776.60465,614.55185,374.34297,331.32487,221.19162,179.05615
GlcCer_NS(d17:2/23:3)+HCO2,820.59449,774.58899,612.53619,372.32731,329.30921,221.19162,179.05615
GlcCer_NS(d17:2/23:4)+HCO2,818.57883,772.57333,610.52053,370.31165,327.29355,221.19162,179.05615
GlcCer_NS(d17:2/24:0)+HCO2,840.65713,794.65163,632.59883,392.38995,349.37185,221.19162,179.05615
GlcCer_NS(d17:2/24:1)+HCO2,838.64147,792.63597,630.58317,390.37429,347.35619,221.19162,179.05615
GlcCer_NS(d17:2/24:2)+HCO2,836.62581,790.62031,628.56751,388.35863,345.34053,221.19162,179.05615
GlcCer_NS(d17:2/24:3)+HCO2,834.61015,788.60465,626.55185,386.34297,343.32487,221.19162,179.05615
GlcCer_NS(d17:2/24:4)+HCO2,832.59449,786.58899,624.53619,384.32731,341.30921,221.19162,179.05615
GlcCer_NS(d17:2/25:0)+HCO2,854.67279,808.66729,646.61449,406.40561,363.38751,221.19162,179.05615
GlcCer_NS(d17:2/25:1)+HCO2,852.65713,806.65163,644.59883,404.38995,361.37185,221.19162,179.05615
GlcCer_NS(d17:2/25:2)+HCO2,850.64147,804.63597,642.58317,402.37429,359.35619,221.19162,179.05615
GlcCer_NS(d17:2/25:3)+HCO2,848.62581,802.62031,640.56751,400.35863,357.34053,221.19162,179.05615
GlcCer_NS(d17:2/25:4)+HCO2,846.61015,800.60465,638.55185,398.34297,355.32487,221.19162,179.05615
GlcCer_NS(d17:2/26:0)+HCO2,868.68845,822.68295,660.63015,420.42127,377.40317,221.19162,179.05615
GlcCer_NS(d17:2/26:1)+HCO2,866.67279,820.66729,658.61449,418.40561,375.38751,221.19162,179.05615
GlcCer_NS(d17:2/26:2)+HCO2,864.65713,818.65163,656.59883,416.38995,373.37185,221.19162,179.05615
GlcCer_NS(d17:2/26:3)+HCO2,862.64147,816.63597,654.58317,414.37429,371.35619,221.19162,179.05615
GlcCer_NS(d17:2/26:4)+HCO2,860.62581,814.62031,652.56751,412.35863,369.34053,221.19162,179.05615
GlcCer_NS(d17:2/27:0)+HCO2,882.70411,836.69861,674.64581,434.43693,391.41883,221.19162,179.05615
GlcCer_NS(d17:2/27:1)+HCO2,880.68845,834.68295,672.63015,432.42127,389.40317,221.19162,179.05615
GlcCer_NS(d17:2/27:2)+HCO2,878.67279,832.66729,670.61449,430.40561,387.38751,221.19162,179.05615
GlcCer_NS(d17:2/27:3)+HCO2,876.65713,830.65163,668.59883,428.38995,385.37185,221.19162,179.05615
GlcCer_NS(d17:2/27:4)+HCO2,874.64147,828.63597,666.58317,426.37429,383.35619,221.19162,179.05615
GlcCer_NS(d17:2/28:0)+HCO2,896.71977,850.71427,688.66147,448.45259,405.43449,221.19162,179.05615
GlcCer_NS(d17:2/28:1)+HCO2,894.70411,848.69861,686.64581,446.43693,403.41883,221.19162,179.05615
GlcCer_NS(d17:2/28:2)+HCO2,892.68845,846.68295,684.63015,444.42127,401.40317,221.19162,179.05615
GlcCer_NS(d17:2/28:3)+HCO2,890.67279,844.66729,682.61449,442.40561,399.38751,221.19162,179.05615
GlcCer_NS(d17:2/28:4)+HCO2,888.65713,842.65163,680.59883,440.38995,397.37185,221.19162,179.05615
GlcCer_NS(d17:2/29:0)+HCO2,910.73543,864.72993,702.67713,462.46825,419.45015,221.19162,179.05615
GlcCer_NS(d17:2/29:1)+HCO2,908.71977,862.71427,700.66147,460.45259,417.43449,221.19162,179.05615
GlcCer_NS(d17:2/29:2)+HCO2,906.70411,860.69861,698.64581,458.43693,415.41883,221.19162,179.05615
GlcCer_NS(d17:2/29:3)+HCO2,904.68845,858.68295,696.63015,456.42127,413.40317,221.19162,179.05615
GlcCer_NS(d17:2/29:4)+HCO2,902.67279,856.66729,694.61449,454.40561,411.38751,221.19162,179.05615
GlcCer_NS(d17:2/30:0)+HCO2,924.75109,878.74559,716.69279,476.48391,433.46581,221.19162,179.05615
GlcCer_NS(d17:2/30:1)+HCO2,922.73543,876.72993,714.67713,474.46825,431.45015,221.19162,179.05615
GlcCer_NS(d17:2/30:2)+HCO2,920.71977,874.71427,712.66147,472.45259,429.43449,221.19162,179.05615
GlcCer_NS(d17:2/30:3)+HCO2,918.70411,872.69861,710.64581,470.43693,427.41883,221.19162,179.05615
GlcCer_NS(d17:2/30:4)+HCO2,916.68845,870.68295,708.63015,468.42127,425.40317,221.19162,179.05615
GlcCer_NS(d17:2/31:0)+HCO2,938.76675,892.76125,730.70845,490.49957,447.48147,221.19162,179.05615
GlcCer_NS(d17:2/31:1)+HCO2,936.75109,890.74559,728.69279,488.48391,445.46581,221.19162,179.05615
GlcCer_NS(d17:2/31:2)+HCO2,934.73543,888.72993,726.67713,486.46825,443.45015,221.19162,179.05615
GlcCer_NS(d17:2/31:3)+HCO2,932.71977,886.71427,724.66147,484.45259,441.43449,221.19162,179.05615
GlcCer_NS(d17:2/31:4)+HCO2,930.70411,884.69861,722.64581,482.43693,439.41883,221.19162,179.05615
GlcCer_NS(d17:2/32:0)+HCO2,952.78241,906.77691,744.72411,504.51523,461.49713,221.19162,179.05615
GlcCer_NS(d17:2/32:1)+HCO2,950.76675,904.76125,742.70845,502.49957,459.48147,221.19162,179.05615
GlcCer_NS(d17:2/32:2)+HCO2,948.75109,902.74559,740.69279,500.48391,457.46581,221.19162,179.05615
GlcCer_NS(d17:2/32:3)+HCO2,946.73543,900.72993,738.67713,498.46825,455.45015,221.19162,179.05615
GlcCer_NS(d17:2/32:4)+HCO2,944.71977,898.71427,736.66147,496.45259,453.43449,221.19162,179.05615
GlcCer_NS(d17:2/33:0)+HCO2,966.79807,920.79257,758.73977,518.53089,475.51279,221.19162,179.05615
GlcCer_NS(d17:2/33:1)+HCO2,964.78241,918.77691,756.72411,516.51523,473.49713,221.19162,179.05615
GlcCer_NS(d17:2/33:2)+HCO2,962.76675,916.76125,754.70845,514.49957,471.48147,221.19162,179.05615
GlcCer_NS(d17:2/33:3)+HCO2,960.75109,914.74559,752.69279,512.48391,469.46581,221.19162,179.05615
GlcCer_NS(d17:2/33:4)+HCO2,958.73543,912.72993,750.67713,510.46825,467.45015,221.19162,179.05615
GlcCer_NS(d17:2/34:0)+HCO2,980.81373,934.80823,772.75543,532.54655,489.52845,221.19162,179.05615
GlcCer_NS(d17:2/34:1)+HCO2,978.79807,932.79257,770.73977,530.53089,487.51279,221.19162,179.05615
GlcCer_NS(d17:2/34:2)+HCO2,976.78241,930.77691,768.72411,528.51523,485.49713,221.19162,179.05615
GlcCer_NS(d17:2/34:3)+HCO2,974.76675,928.76125,766.70845,526.49957,483.48147,221.19162,179.05615
GlcCer_NS(d17:2/34:4)+HCO2,972.75109,926.74559,764.69279,524.48391,481.46581,221.19162,179.05615
GlcCer_NS(d17:2/35:0)+HCO2,994.82939,948.82389,786.77109,546.56221,503.54411,221.19162,179.05615
GlcCer_NS(d17:2/35:1)+HCO2,992.81373,946.80823,784.75543,544.54655,501.52845,221.19162,179.05615
GlcCer_NS(d17:2/35:2)+HCO2,990.79807,944.79257,782.73977,542.53089,499.51279,221.19162,179.05615
GlcCer_NS(d17:2/35:3)+HCO2,988.78241,942.77691,780.72411,540.51523,497.49713,221.19162,179.05615
GlcCer_NS(d17:2/35:4)+HCO2,986.76675,940.76125,778.70845,538.49957,495.48147,221.19162,179.05615
GlcCer_NS(d17:2/36:0)+HCO2,1008.84505,962.83955,800.78675,560.57787,517.55977,221.19162,179.05615
GlcCer_NS(d17:2/36:1)+HCO2,1006.82939,960.82389,798.77109,558.56221,515.54411,221.19162,179.05615
GlcCer_NS(d17:2/36:2)+HCO2,1004.81373,958.80823,796.75543,556.54655,513.52845,221.19162,179.05615
GlcCer_NS(d17:2/36:3)+HCO2,1002.79807,956.79257,794.73977,554.53089,511.51279,221.19162,179.05615
GlcCer_NS(d17:2/36:4)+HCO2,1000.78241,954.77691,792.72411,552.51523,509.49713,221.19162,179.05615
GlcCer_NS(d18:2/14:0)+HCO2,714.51619,668.51069,506.45789,252.23335,209.21525,235.20728,179.05615
GlcCer_NS(d18:2/14:1)+HCO2,712.50053,666.49503,504.44223,250.21769,207.19959,235.20728,179.05615
GlcCer_NS(d18:2/14:2)+HCO2,710.48487,664.47937,502.42657,248.20203,205.18393,235.20728,179.05615
GlcCer_NS(d18:2/14:3)+HCO2,708.46921,662.46371,500.41091,246.18637,203.16827,235.20728,179.05615
GlcCer_NS(d18:2/15:0)+HCO2,728.53185,682.52635,520.47355,266.24901,223.23091,235.20728,179.05615
GlcCer_NS(d18:2/15:1)+HCO2,726.51619,680.51069,518.45789,264.23335,221.21525,235.20728,179.05615
GlcCer_NS(d18:2/15:2)+HCO2,724.50053,678.49503,516.44223,262.21769,219.19959,235.20728,179.05615
GlcCer_NS(d18:2/15:3)+HCO2,722.48487,676.47937,514.42657,260.20203,217.18393,235.20728,179.05615
GlcCer_NS(d18:2/16:0)+HCO2,742.54751,696.54201,534.48921,280.26467,237.24657,235.20728,179.05615
GlcCer_NS(d18:2/16:1)+HCO2,740.53185,694.52635,532.47355,278.24901,235.23091,235.20728,179.05615
GlcCer_NS(d18:2/16:2)+HCO2,738.51619,692.51069,530.45789,276.23335,233.21525,235.20728,179.05615
GlcCer_NS(d18:2/16:3)+HCO2,736.50053,690.49503,528.44223,274.21769,231.19959,235.20728,179.05615
GlcCer_NS(d18:2/16:4)+HCO2,734.48487,688.47937,526.42657,272.20203,229.18393,235.20728,179.05615
GlcCer_NS(d18:2/17:0)+HCO2,756.56317,710.55767,548.50487,294.28033,251.26223,235.20728,179.05615
GlcCer_NS(d18:2/17:1)+HCO2,754.54751,708.54201,546.48921,292.26467,249.24657,235.20728,179.05615
GlcCer_NS(d18:2/17:2)+HCO2,752.53185,706.52635,544.47355,290.24901,247.23091,235.20728,179.05615
GlcCer_NS(d18:2/17:3)+HCO2,750.51619,704.51069,542.45789,288.23335,245.21525,235.20728,179.05615
GlcCer_NS(d18:2/18:0)+HCO2,770.57883,724.57333,562.52053,308.29599,265.27789,235.20728,179.05615
GlcCer_NS(d18:2/18:1)+HCO2,768.56317,722.55767,560.50487,306.28033,263.26223,235.20728,179.05615
GlcCer_NS(d18:2/18:2)+HCO2,766.54751,720.54201,558.48921,304.26467,261.24657,235.20728,179.05615
GlcCer_NS(d18:2/18:3)+HCO2,764.53185,718.52635,556.47355,302.24901,259.23091,235.20728,179.05615
GlcCer_NS(d18:2/18:4)+HCO2,762.51619,716.51069,554.45789,300.23335,257.21525,235.20728,179.05615
GlcCer_NS(d18:2/19:0)+HCO2,784.59449,738.58899,576.53619,322.31165,279.29355,235.20728,179.05615
GlcCer_NS(d18:2/19:1)+HCO2,782.57883,736.57333,574.52053,320.29599,277.27789,235.20728,179.05615
GlcCer_NS(d18:2/19:2)+HCO2,780.56317,734.55767,572.50487,318.28033,275.26223,235.20728,179.05615
GlcCer_NS(d18:2/19:3)+HCO2,778.54751,732.54201,570.48921,316.26467,273.24657,235.20728,179.05615
GlcCer_NS(d18:2/19:4)+HCO2,776.53185,730.52635,568.47355,314.24901,271.23091,235.20728,179.05615
GlcCer_NS(d18:2/20:0)+HCO2,798.61015,752.60465,590.55185,336.32731,293.30921,235.20728,179.05615
GlcCer_NS(d18:2/20:1)+HCO2,796.59449,750.58899,588.53619,334.31165,291.29355,235.20728,179.05615
GlcCer_NS(d18:2/20:2)+HCO2,794.57883,748.57333,586.52053,332.29599,289.27789,235.20728,179.05615
GlcCer_NS(d18:2/20:3)+HCO2,792.56317,746.55767,584.50487,330.28033,287.26223,235.20728,179.05615
GlcCer_NS(d18:2/20:4)+HCO2,790.54751,744.54201,582.48921,328.26467,285.24657,235.20728,179.05615
GlcCer_NS(d18:2/21:0)+HCO2,812.62581,766.62031,604.56751,350.34297,307.32487,235.20728,179.05615
GlcCer_NS(d18:2/21:1)+HCO2,810.61015,764.60465,602.55185,348.32731,305.30921,235.20728,179.05615
GlcCer_NS(d18:2/21:2)+HCO2,808.59449,762.58899,600.53619,346.31165,303.29355,235.20728,179.05615
GlcCer_NS(d18:2/21:3)+HCO2,806.57883,760.57333,598.52053,344.29599,301.27789,235.20728,179.05615
GlcCer_NS(d18:2/21:4)+HCO2,804.56317,758.55767,596.50487,342.28033,299.26223,235.20728,179.05615
GlcCer_NS(d18:2/22:0)+HCO2,826.64147,780.63597,618.58317,364.35863,321.34053,235.20728,179.05615
GlcCer_NS(d18:2/22:1)+HCO2,824.62581,778.62031,616.56751,362.34297,319.32487,235.20728,179.05615
GlcCer_NS(d18:2/22:2)+HCO2,822.61015,776.60465,614.55185,360.32731,317.30921,235.20728,179.05615
GlcCer_NS(d18:2/22:3)+HCO2,820.59449,774.58899,612.53619,358.31165,315.29355,235.20728,179.05615
GlcCer_NS(d18:2/22:4)+HCO2,818.57883,772.57333,610.52053,356.29599,313.27789,235.20728,179.05615
GlcCer_NS(d18:2/23:0)+HCO2,840.65713,794.65163,632.59883,378.37429,335.35619,235.20728,179.05615
GlcCer_NS(d18:2/23:1)+HCO2,838.64147,792.63597,630.58317,376.35863,333.34053,235.20728,179.05615
GlcCer_NS(d18:2/23:2)+HCO2,836.62581,790.62031,628.56751,374.34297,331.32487,235.20728,179.05615
GlcCer_NS(d18:2/23:3)+HCO2,834.61015,788.60465,626.55185,372.32731,329.30921,235.20728,179.05615
GlcCer_NS(d18:2/23:4)+HCO2,832.59449,786.58899,624.53619,370.31165,327.29355,235.20728,179.05615
GlcCer_NS(d18:2/24:0)+HCO2,854.67279,808.66729,646.61449,392.38995,349.37185,235.20728,179.05615
GlcCer_NS(d18:2/24:1)+HCO2,852.65713,806.65163,644.59883,390.37429,347.35619,235.20728,179.05615
GlcCer_NS(d18:2/24:2)+HCO2,850.64147,804.63597,642.58317,388.35863,345.34053,235.20728,179.05615
GlcCer_NS(d18:2/24:3)+HCO2,848.62581,802.62031,640.56751,386.34297,343.32487,235.20728,179.05615
GlcCer_NS(d18:2/24:4)+HCO2,846.61015,800.60465,638.55185,384.32731,341.30921,235.20728,179.05615
GlcCer_NS(d18:2/25:0)+HCO2,868.68845,822.68295,660.63015,406.40561,363.38751,235.20728,179.05615
GlcCer_NS(d18:2/25:1)+HCO2,866.67279,820.66729,658.61449,404.38995,361.37185,235.20728,179.05615
GlcCer_NS(d18:2/25:2)+HCO2,864.65713,818.65163,656.59883,402.37429,359.35619,235.20728,179.05615
GlcCer_NS(d18:2/25:3)+HCO2,862.64147,816.63597,654.58317,400.35863,357.34053,235.20728,179.05615
GlcCer_NS(d18:2/25:4)+HCO2,860.62581,814.62031,652.56751,398.34297,355.32487,235.20728,179.05615
GlcCer_NS(d18:2/26:0)+HCO2,882.70411,836.69861,674.64581,420.42127,377.40317,235.20728,179.05615
GlcCer_NS(d18:2/26:1)+HCO2,880.68845,834.68295,672.63015,418.40561,375.38751,235.20728,179.05615
GlcCer_NS(d18:2/26:2)+HCO2,878.67279,832.66729,670.61449,416.38995,373.37185,235.20728,179.05615
GlcCer_NS(d18:2/26:3)+HCO2,876.65713,830.65163,668.59883,414.37429,371.35619,235.20728,179.05615
GlcCer_NS(d18:2/26:4)+HCO2,874.64147,828.63597,666.58317,412.35863,369.34053,235.20728,179.05615
GlcCer_NS(d18:2/27:0)+HCO2,896.71977,850.71427,688.66147,434.43693,391.41883,235.20728,179.05615
GlcCer_NS(d18:2/27:1)+HCO2,894.70411,848.69861,686.64581,432.42127,389.40317,235.20728,179.05615
GlcCer_NS(d18:2/27:2)+HCO2,892.68845,846.68295,684.63015,430.40561,387.38751,235.20728,179.05615
GlcCer_NS(d18:2/27:3)+HCO2,890.67279,844.66729,682.61449,428.38995,385.37185,235.20728,179.05615
GlcCer_NS(d18:2/27:4)+HCO2,888.65713,842.65163,680.59883,426.37429,383.35619,235.20728,179.05615
GlcCer_NS(d18:2/28:0)+HCO2,910.73543,864.72993,702.67713,448.45259,405.43449,235.20728,179.05615
GlcCer_NS(d18:2/28:1)+HCO2,908.71977,862.71427,700.66147,446.43693,403.41883,235.20728,179.05615
GlcCer_NS(d18:2/28:2)+HCO2,906.70411,860.69861,698.64581,444.42127,401.40317,235.20728,179.05615
GlcCer_NS(d18:2/28:3)+HCO2,904.68845,858.68295,696.63015,442.40561,399.38751,235.20728,179.05615
GlcCer_NS(d18:2/28:4)+HCO2,902.67279,856.66729,694.61449,440.38995,397.37185,235.20728,179.05615
GlcCer_NS(d18:2/29:0)+HCO2,924.75109,878.74559,716.69279,462.46825,419.45015,235.20728,179.05615
GlcCer_NS(d18:2/29:1)+HCO2,922.73543,876.72993,714.67713,460.45259,417.43449,235.20728,179.05615
GlcCer_NS(d18:2/29:2)+HCO2,920.71977,874.71427,712.66147,458.43693,415.41883,235.20728,179.05615
GlcCer_NS(d18:2/29:3)+HCO2,918.70411,872.69861,710.64581,456.42127,413.40317,235.20728,179.05615
GlcCer_NS(d18:2/29:4)+HCO2,916.68845,870.68295,708.63015,454.40561,411.38751,235.20728,179.05615
GlcCer_NS(d18:2/30:0)+HCO2,938.76675,892.76125,730.70845,476.48391,433.46581,235.20728,179.05615
GlcCer_NS(d18:2/30:1)+HCO2,936.75109,890.74559,728.69279,474.46825,431.45015,235.20728,179.05615
GlcCer_NS(d18:2/30:2)+HCO2,934.73543,888.72993,726.67713,472.45259,429.43449,235.20728,179.05615
GlcCer_NS(d18:2/30:3)+HCO2,932.71977,886.71427,724.66147,470.43693,427.41883,235.20728,179.05615
GlcCer_NS(d18:2/30:4)+HCO2,930.70411,884.69861,722.64581,468.42127,425.40317,235.20728,179.05615
GlcCer_NS(d18:2/31:0)+HCO2,952.78241,906.77691,744.72411,490.49957,447.48147,235.20728,179.05615
GlcCer_NS(d18:2/31:1)+HCO2,950.76675,904.76125,742.70845,488.48391,445.46581,235.20728,179.05615
GlcCer_NS(d18:2/31:2)+HCO2,948.75109,902.74559,740.69279,486.46825,443.45015,235.20728,179.05615
GlcCer_NS(d18:2/31:3)+HCO2,946.73543,900.72993,738.67713,484.45259,441.43449,235.20728,179.05615
GlcCer_NS(d18:2/31:4)+HCO2,944.71977,898.71427,736.66147,482.43693,439.41883,235.20728,179.05615
GlcCer_NS(d18:2/32:0)+HCO2,966.79807,920.79257,758.73977,504.51523,461.49713,235.20728,179.05615
GlcCer_NS(d18:2/32:1)+HCO2,964.78241,918.77691,756.72411,502.49957,459.48147,235.20728,179.05615
GlcCer_NS(d18:2/32:2)+HCO2,962.76675,916.76125,754.70845,500.48391,457.46581,235.20728,179.05615
GlcCer_NS(d18:2/32:3)+HCO2,960.75109,914.74559,752.69279,498.46825,455.45015,235.20728,179.05615
GlcCer_NS(d18:2/32:4)+HCO2,958.73543,912.72993,750.67713,496.45259,453.43449,235.20728,179.05615
GlcCer_NS(d18:2/33:0)+HCO2,980.81373,934.80823,772.75543,518.53089,475.51279,235.20728,179.05615
GlcCer_NS(d18:2/33:1)+HCO2,978.79807,932.79257,770.73977,516.51523,473.49713,235.20728,179.05615
GlcCer_NS(d18:2/33:2)+HCO2,976.78241,930.77691,768.72411,514.49957,471.48147,235.20728,179.05615
GlcCer_NS(d18:2/33:3)+HCO2,974.76675,928.76125,766.70845,512.48391,469.46581,235.20728,179.05615
GlcCer_NS(d18:2/33:4)+HCO2,972.75109,926.74559,764.69279,510.46825,467.45015,235.20728,179.05615
GlcCer_NS(d18:2/34:0)+HCO2,994.82939,948.82389,786.77109,532.54655,489.52845,235.20728,179.05615
GlcCer_NS(d18:2/34:1)+HCO2,992.81373,946.80823,784.75543,530.53089,487.51279,235.20728,179.05615
GlcCer_NS(d18:2/34:2)+HCO2,990.79807,944.79257,782.73977,528.51523,485.49713,235.20728,179.05615
GlcCer_NS(d18:2/34:3)+HCO2,988.78241,942.77691,780.72411,526.49957,483.48147,235.20728,179.05615
GlcCer_NS(d18:2/34:4)+HCO2,986.76675,940.76125,778.70845,524.48391,481.46581,235.20728,179.05615
GlcCer_NS(d18:2/35:0)+HCO2,1008.84505,962.83955,800.78675,546.56221,503.54411,235.20728,179.05615
GlcCer_NS(d18:2/35:1)+HCO2,1006.82939,960.82389,798.77109,544.54655,501.52845,235.20728,179.05615
GlcCer_NS(d18:2/35:2)+HCO2,1004.81373,958.80823,796.75543,542.53089,499.51279,235.20728,179.05615
GlcCer_NS(d18:2/35:3)+HCO2,1002.79807,956.79257,794.73977,540.51523,497.49713,235.20728,179.05615
GlcCer_NS(d18:2/35:4)+HCO2,1000.78241,954.77691,792.72411,538.49957,495.48147,235.20728,179.05615
GlcCer_NS(d18:2/36:0)+HCO2,1022.86071,976.85521,814.80241,560.57787,517.55977,235.20728,179.05615
GlcCer_NS(d18:2/36:1)+HCO2,1020.84505,974.83955,812.78675,558.56221,515.54411,235.20728,179.05615
GlcCer_NS(d18:2/36:2)+HCO2,1018.82939,972.82389,810.77109,556.54655,513.52845,235.20728,179.05615
GlcCer_NS(d18:2/36:3)+HCO2,1016.81373,970.80823,808.75543,554.53089,511.51279,235.20728,179.05615
GlcCer_NS(d18:2/36:4)+HCO2,1014.79807,968.79257,806.73977,552.51523,509.49713,235.20728,179.05615
GlcCer_NS(d19:2/14:0)+HCO2,728.53185,682.52635,520.47355,252.23335,209.21525,249.22294,179.05615
GlcCer_NS(d19:2/14:1)+HCO2,726.51619,680.51069,518.45789,250.21769,207.19959,249.22294,179.05615
GlcCer_NS(d19:2/14:2)+HCO2,724.50053,678.49503,516.44223,248.20203,205.18393,249.22294,179.05615
GlcCer_NS(d19:2/14:3)+HCO2,722.48487,676.47937,514.42657,246.18637,203.16827,249.22294,179.05615
GlcCer_NS(d19:2/15:0)+HCO2,742.54751,696.54201,534.48921,266.24901,223.23091,249.22294,179.05615
GlcCer_NS(d19:2/15:1)+HCO2,740.53185,694.52635,532.47355,264.23335,221.21525,249.22294,179.05615
GlcCer_NS(d19:2/15:2)+HCO2,738.51619,692.51069,530.45789,262.21769,219.19959,249.22294,179.05615
GlcCer_NS(d19:2/15:3)+HCO2,736.50053,690.49503,528.44223,260.20203,217.18393,249.22294,179.05615
GlcCer_NS(d19:2/16:0)+HCO2,756.56317,710.55767,548.50487,280.26467,237.24657,249.22294,179.05615
GlcCer_NS(d19:2/16:1)+HCO2,754.54751,708.54201,546.48921,278.24901,235.23091,249.22294,179.05615
GlcCer_NS(d19:2/16:2)+HCO2,752.53185,706.52635,544.47355,276.23335,233.21525,249.22294,179.05615
GlcCer_NS(d19:2/16:3)+HCO2,750.51619,704.51069,542.45789,274.21769,231.19959,249.22294,179.05615
GlcCer_NS(d19:2/16:4)+HCO2,748.50053,702.49503,540.44223,272.20203,229.18393,249.22294,179.05615
GlcCer_NS(d19:2/17:0)+HCO2,770.57883,724.57333,562.52053,294.28033,251.26223,249.22294,179.05615
GlcCer_NS(d19:2/17:1)+HCO2,768.56317,722.55767,560.50487,292.26467,249.24657,249.22294,179.05615
GlcCer_NS(d19:2/17:2)+HCO2,766.54751,720.54201,558.48921,290.24901,247.23091,249.22294,179.05615
GlcCer_NS(d19:2/17:3)+HCO2,764.53185,718.52635,556.47355,288.23335,245.21525,249.22294,179.05615
GlcCer_NS(d19:2/18:0)+HCO2,784.59449,738.58899,576.53619,308.29599,265.27789,249.22294,179.05615
GlcCer_NS(d19:2/18:1)+HCO2,782.57883,736.57333,574.52053,306.28033,263.26223,249.22294,179.05615
GlcCer_NS(d19:2/18:2)+HCO2,780.56317,734.55767,572.50487,304.26467,261.24657,249.22294,179.05615
GlcCer_NS(d19:2/18:3)+HCO2,778.54751,732.54201,570.48921,302.24901,259.23091,249.22294,179.05615
GlcCer_NS(d19:2/18:4)+HCO2,776.53185,730.52635,568.47355,300.23335,257.21525,249.22294,179.05615
GlcCer_NS(d19:2/19:0)+HCO2,798.61015,752.60465,590.55185,322.31165,279.29355,249.22294,179.05615
GlcCer_NS(d19:2/19:1)+HCO2,796.59449,750.58899,588.53619,320.29599,277.27789,249.22294,179.05615
GlcCer_NS(d19:2/19:2)+HCO2,794.57883,748.57333,586.52053,318.28033,275.26223,249.22294,179.05615
GlcCer_NS(d19:2/19:3)+HCO2,792.56317,746.55767,584.50487,316.26467,273.24657,249.22294,179.05615
GlcCer_NS(d19:2/19:4)+HCO2,790.54751,744.54201,582.48921,314.24901,271.23091,249.22294,179.05615
GlcCer_NS(d19:2/20:0)+HCO2,812.62581,766.62031,604.56751,336.32731,293.30921,249.22294,179.05615
GlcCer_NS(d19:2/20:1)+HCO2,810.61015,764.60465,602.55185,334.31165,291.29355,249.22294,179.05615
GlcCer_NS(d19:2/20:2)+HCO2,808.59449,762.58899,600.53619,332.29599,289.27789,249.22294,179.05615
GlcCer_NS(d19:2/20:3)+HCO2,806.57883,760.57333,598.52053,330.28033,287.26223,249.22294,179.05615
GlcCer_NS(d19:2/20:4)+HCO2,804.56317,758.55767,596.50487,328.26467,285.24657,249.22294,179.05615
GlcCer_NS(d19:2/21:0)+HCO2,826.64147,780.63597,618.58317,350.34297,307.32487,249.22294,179.05615
GlcCer_NS(d19:2/21:1)+HCO2,824.62581,778.62031,616.56751,348.32731,305.30921,249.22294,179.05615
GlcCer_NS(d19:2/21:2)+HCO2,822.61015,776.60465,614.55185,346.31165,303.29355,249.22294,179.05615
GlcCer_NS(d19:2/21:3)+HCO2,820.59449,774.58899,612.53619,344.29599,301.27789,249.22294,179.05615
GlcCer_NS(d19:2/21:4)+HCO2,818.57883,772.57333,610.52053,342.28033,299.26223,249.22294,179.05615
GlcCer_NS(d19:2/22:0)+HCO2,840.65713,794.65163,632.59883,364.35863,321.34053,249.22294,179.05615
GlcCer_NS(d19:2/22:1)+HCO2,838.64147,792.63597,630.58317,362.34297,319.32487,249.22294,179.05615
GlcCer_NS(d19:2/22:2)+HCO2,836.62581,790.62031,628.56751,360.32731,317.30921,249.22294,179.05615
GlcCer_NS(d19:2/22:3)+HCO2,834.61015,788.60465,626.55185,358.31165,315.29355,249.22294,179.05615
GlcCer_NS(d19:2/22:4)+HCO2,832.59449,786.58899,624.53619,356.29599,313.27789,249.22294,179.05615
GlcCer_NS(d19:2/23:0)+HCO2,854.67279,808.66729,646.61449,378.37429,335.35619,249.22294,179.05615
GlcCer_NS(d19:2/23:1)+HCO2,852.65713,806.65163,644.59883,376.35863,333.34053,249.22294,179.05615
