Cer_AP,[M-H]-,[FA+NC(C)CO-H]-,[FA+O-H]-,[FA-CO-3H]-,[Sph-NC(CO)CO-H]-
Cer_AP(t20:1/19:2)-H,634.54165,364.28515,309.24405,263.23855,251.23755
Cer_AP(t20:1/19:3)-H,632.52595,362.26955,307.22845,261.22295,251.23755
Cer_AP(t20:1/19:4)-H,630.51035,360.25385,305.21275,259.20725,251.23755
Cer_AP(t20:1/20:0)-H,652.58855,382.33215,327.29105,281.28555,251.23755
Cer_AP(t20:1/20:1)-H,650.57285,380.31645,325.27535,279.26985,251.23755
Cer_AP(t20:1/20:2)-H,648.55725,378.30085,323.25975,277.25425,251.23755
Cer_AP(t20:1/20:3)-H,646.54165,376.28515,321.24405,275.23855,251.23755
Cer_AP(t20:1/20:4)-H,644.52595,374.26955,319.22845,273.22295,251.23755
Cer_AP(t20:1/21:0)-H,666.60415,396.34775,341.30665,295.30115,251.23755
Cer_AP(t20:1/21:1)-H,664.58855,394.33215,339.29105,293.28555,251.23755
Cer_AP(t20:1/21:2)-H,662.57285,392.31645,337.27535,291.26985,251.23755
Cer_AP(t20:1/21:3)-H,660.55725,390.30085,335.25975,289.25425,251.23755
Cer_AP(t20:1/21:4)-H,658.54165,388.28515,333.24405,287.23855,251.23755
Cer_AP(t20:1/22:0)-H,680.61985,410.36345,355.32235,309.31685,251.23755
Cer_AP(t20:1/22:1)-H,678.60415,408.34775,353.30665,307.30115,251.23755
Cer_AP(t20:1/22:2)-H,676.58855,406.33215,351.29105,305.28555,251.23755
Cer_AP(t20:1/22:3)-H,674.57285,404.31645,349.27535,303.26985,251.23755
Cer_AP(t20:1/22:4)-H,672.55725,402.30085,347.25975,301.25425,251.23755
Cer_AP(t20:1/23:0)-H,694.63545,424.37905,369.33795,323.33245,251.23755
Cer_AP(t20:1/23:1)-H,692.61985,422.36345,367.32235,321.31685,251.23755
Cer_AP(t20:1/23:2)-H,690.60415,420.34775,365.30665,319.30115,251.23755
Cer_AP(t20:1/23:3)-H,688.58855,418.33215,363.29105,317.28555,251.23755
Cer_AP(t20:1/23:4)-H,686.57285,416.31645,361.27535,315.26985,251.23755
Cer_AP(t20:1/24:0)-H,708.65115,438.39475,383.35365,337.34815,251.23755
Cer_AP(t20:1/24:1)-H,706.63545,436.37905,381.33795,335.33245,251.23755
Cer_AP(t20:1/24:2)-H,704.61985,434.36345,379.32235,333.31685,251.23755
Cer_AP(t20:1/24:3)-H,702.60415,432.34775,377.30665,331.30115,251.23755
Cer_AP(t20:1/24:4)-H,700.58855,430.33215,375.29105,329.28555,251.23755
Cer_AP(t20:1/25:0)-H,722.66685,452.41045,397.36925,351.36385,251.23755
Cer_AP(t20:1/25:1)-H,720.65115,450.39475,395.35365,349.34815,251.23755
Cer_AP(t20:1/25:2)-H,718.63545,448.37905,393.33795,347.33245,251.23755
Cer_AP(t20:1/25:3)-H,716.61985,446.36345,391.32235,345.31685,251.23755
Cer_AP(t20:1/25:4)-H,714.60415,444.34775,389.30665,343.30115,251.23755
Cer_AP(t20:1/26:0)-H,736.68245,466.42605,411.38495,365.37945,251.23755
Cer_AP(t20:1/26:1)-H,734.66685,464.41045,409.36925,363.36385,251.23755
Cer_AP(t20:1/26:2)-H,732.65115,462.39475,407.35365,361.34815,251.23755
Cer_AP(t20:1/26:3)-H,730.63545,460.37905,405.33795,359.33245,251.23755
Cer_AP(t20:1/26:4)-H,728.61985,458.36345,403.32235,357.31685,251.23755
Cer_AP(t20:1/27:0)-H,750.69815,480.44165,425.40055,379.39505,251.23755
Cer_AP(t20:1/27:1)-H,748.68245,478.42605,423.38495,377.37945,251.23755
Cer_AP(t20:1/27:2)-H,746.66685,476.41045,421.36925,375.36385,251.23755
Cer_AP(t20:1/27:3)-H,744.65115,474.39475,419.35365,373.34815,251.23755
Cer_AP(t20:1/27:4)-H,742.63545,472.37905,417.33795,371.33245,251.23755
Cer_AP(t20:1/28:0)-H,764.71375,494.45735,439.41625,393.41075,251.23755
Cer_AP(t20:1/28:1)-H,762.69815,492.44165,437.40055,391.39505,251.23755
Cer_AP(t20:1/28:2)-H,760.68245,490.42605,435.38495,389.37945,251.23755
Cer_AP(t20:1/28:3)-H,758.66685,488.41045,433.36925,387.36385,251.23755
Cer_AP(t20:1/28:4)-H,756.65115,486.39475,431.35365,385.34815,251.23755
Cer_AP(t20:1/29:0)-H,778.72945,508.47295,453.43185,407.42635,251.23755
Cer_AP(t20:1/29:1)-H,776.71375,506.45735,451.41625,405.41075,251.23755
Cer_AP(t20:1/29:2)-H,774.69815,504.44165,449.40055,403.39505,251.23755
Cer_AP(t20:1/29:3)-H,772.68245,502.42605,447.38495,401.37945,251.23755
Cer_AP(t20:1/29:4)-H,770.66685,500.41045,445.36925,399.36385,251.23755
Cer_AP(t20:1/30:0)-H,792.74505,522.48865,467.44755,421.44205,251.23755
Cer_AP(t20:1/30:1)-H,790.72945,520.47295,465.43185,419.42635,251.23755
Cer_AP(t20:1/30:2)-H,788.71375,518.45735,463.41625,417.41075,251.23755
Cer_AP(t20:1/30:3)-H,786.69815,516.44175,461.40055,415.39505,251.23755
Cer_AP(t20:1/30:4)-H,784.68245,514.42605,459.38495,413.37945,251.23755
Cer_AP(t20:1/31:0)-H,806.76065,536.50425,481.46315,435.45775,251.23755
Cer_AP(t20:1/31:1)-H,804.74505,534.48865,479.44755,433.44205,251.23755
Cer_AP(t20:1/31:2)-H,802.72945,532.47295,477.43185,431.42635,251.23755
Cer_AP(t20:1/31:3)-H,800.71375,530.45735,475.41625,429.41075,251.23755
Cer_AP(t20:1/31:4)-H,798.69815,528.44175,473.40055,427.39505,251.23755
Cer_AP(t20:1/32:0)-H,820.77635,550.51995,495.47885,449.47335,251.23755
Cer_AP(t20:1/32:1)-H,818.76065,548.50425,493.46315,447.45775,251.23755
Cer_AP(t20:1/32:2)-H,816.74505,546.48865,491.44755,445.44205,251.23755
Cer_AP(t20:1/32:3)-H,814.72945,544.47295,489.43185,443.42635,251.23755
Cer_AP(t20:1/32:4)-H,812.71375,542.45735,487.41625,441.41075,251.23755
Cer_AP(t20:1/33:0)-H,834.79195,564.53555,509.49445,463.48895,251.23755
Cer_AP(t20:1/33:1)-H,832.77635,562.51995,507.47885,461.47335,251.23755
Cer_AP(t20:1/33:2)-H,830.76065,560.50425,505.46315,459.45775,251.23755
Cer_AP(t20:1/33:3)-H,828.74505,558.48865,503.44755,457.44205,251.23755
Cer_AP(t20:1/33:4)-H,826.72945,556.47295,501.43185,455.42635,251.23755
Cer_AP(t20:1/34:0)-H,848.80765,578.55125,523.51015,477.50465,251.23755
Cer_AP(t20:1/34:1)-H,846.79195,576.53555,521.49455,475.48895,251.23755
Cer_AP(t20:1/34:2)-H,844.77635,574.51995,519.47885,473.47335,251.23755
Cer_AP(t20:1/34:3)-H,842.76065,572.50425,517.46315,471.45775,251.23755
Cer_AP(t20:1/34:4)-H,840.74505,570.48865,515.44755,469.44205,251.23755
Cer_AP(t20:1/35:0)-H,862.82335,592.56685,537.52575,491.52025,251.23755
Cer_AP(t20:1/35:1)-H,860.80765,590.55125,535.51015,489.50465,251.23755
Cer_AP(t20:1/35:2)-H,858.79195,588.53555,533.49455,487.48895,251.23755
Cer_AP(t20:1/35:3)-H,856.77635,586.51995,531.47885,485.47335,251.23755
Cer_AP(t20:1/35:4)-H,854.76065,584.50425,529.46315,483.45775,251.23755
Cer_AP(t20:1/36:0)-H,876.83895,606.58255,551.54145,505.53595,251.23755
Cer_AP(t20:1/36:1)-H,874.82335,604.56685,549.52575,503.52025,251.23755
Cer_AP(t20:1/36:2)-H,872.80765,602.55125,547.51015,501.50465,251.23755
Cer_AP(t20:1/36:3)-H,870.79195,600.53555,545.49455,499.48895,251.23755
Cer_AP(t20:1/36:4)-H,868.77635,598.51995,543.47885,497.47335,251.23755
Cer_AP(t21:1/14:0)-H,582.51035,298.23825,243.19715,197.19165,265.25315
Cer_AP(t21:1/14:1)-H,580.49465,296.22255,241.18145,195.17595,265.25315
Cer_AP(t21:1/14:2)-H,578.47905,294.20695,239.16585,193.16035,265.25315
Cer_AP(t21:1/14:3)-H,576.46335,292.19125,237.15015,191.14465,265.25315
Cer_AP(t21:1/15:0)-H,596.52595,312.25385,257.21275,211.20725,265.25315
Cer_AP(t21:1/15:1)-H,594.51035,310.23825,255.19715,209.19165,265.25315
Cer_AP(t21:1/15:2)-H,592.49465,308.22255,253.18145,207.17595,265.25315
Cer_AP(t21:1/15:3)-H,590.47905,306.20695,251.16585,205.16035,265.25315
Cer_AP(t21:1/16:0)-H,610.54165,326.26955,271.22845,225.22295,265.25315
Cer_AP(t21:1/16:1)-H,608.52595,324.25385,269.21275,223.20725,265.25315
Cer_AP(t21:1/16:2)-H,606.51035,322.23825,267.19715,221.19165,265.25315
Cer_AP(t21:1/16:3)-H,604.49465,320.22255,265.18145,219.17595,265.25315
Cer_AP(t21:1/16:4)-H,602.47905,318.20695,263.16585,217.16035,265.25315
Cer_AP(t21:1/17:0)-H,624.55725,340.28515,285.24405,239.23855,265.25315
Cer_AP(t21:1/17:1)-H,622.54165,338.26955,283.22845,237.22295,265.25315
Cer_AP(t21:1/17:2)-H,620.52595,336.25385,281.21275,235.20725,265.25315
Cer_AP(t21:1/17:3)-H,618.51035,334.23825,279.19715,233.19165,265.25315
Cer_AP(t21:1/18:0)-H,638.57285,354.30085,299.25975,253.25425,265.25315
Cer_AP(t21:1/18:1)-H,636.55725,352.28515,297.24405,251.23855,265.25315
Cer_AP(t21:1/18:2)-H,634.54165,350.26955,295.22845,249.22295,265.25315
Cer_AP(t21:1/18:3)-H,632.52595,348.25385,293.21275,247.20725,265.25315
Cer_AP(t21:1/18:4)-H,630.51035,346.23825,291.19715,245.19165,265.25315
Cer_AP(t21:1/19:0)-H,652.58855,368.31645,313.27535,267.26985,265.25315
Cer_AP(t21:1/19:1)-H,650.57285,366.30085,311.25975,265.25425,265.25315
Cer_AP(t21:1/19:2)-H,648.55725,364.28515,309.24405,263.23855,265.25315
Cer_AP(t21:1/19:3)-H,646.54165,362.26955,307.22845,261.22295,265.25315
Cer_AP(t21:1/19:4)-H,644.52595,360.25385,305.21275,259.20725,265.25315
Cer_AP(t21:1/20:0)-H,666.60415,382.33215,327.29105,281.28555,265.25315
Cer_AP(t21:1/20:1)-H,664.58855,380.31645,325.27535,279.26985,265.25315
Cer_AP(t21:1/20:2)-H,662.57285,378.30085,323.25975,277.25425,265.25315
Cer_AP(t21:1/20:3)-H,660.55725,376.28515,321.24405,275.23855,265.25315
Cer_AP(t21:1/20:4)-H,658.54165,374.26955,319.22845,273.22295,265.25315
Cer_AP(t21:1/21:0)-H,680.61985,396.34775,341.30665,295.30115,265.25315
Cer_AP(t21:1/21:1)-H,678.60415,394.33215,339.29105,293.28555,265.25315
Cer_AP(t21:1/21:2)-H,676.58855,392.31645,337.27535,291.26985,265.25315
Cer_AP(t21:1/21:3)-H,674.57285,390.30085,335.25975,289.25425,265.25315
Cer_AP(t21:1/21:4)-H,672.55725,388.28515,333.24405,287.23855,265.25315
Cer_AP(t21:1/22:0)-H,694.63545,410.36345,355.32235,309.31685,265.25315
Cer_AP(t21:1/22:1)-H,692.61985,408.34775,353.30665,307.30115,265.25315
Cer_AP(t21:1/22:2)-H,690.60415,406.33215,351.29105,305.28555,265.25315
Cer_AP(t21:1/22:3)-H,688.58855,404.31645,349.27535,303.26985,265.25315
Cer_AP(t21:1/22:4)-H,686.57285,402.30085,347.25975,301.25425,265.25315
Cer_AP(t21:1/23:0)-H,708.65115,424.37905,369.33795,323.33245,265.25315
Cer_AP(t21:1/23:1)-H,706.63545,422.36345,367.32235,321.31685,265.25315
Cer_AP(t21:1/23:2)-H,704.61985,420.34775,365.30665,319.30115,265.25315
Cer_AP(t21:1/23:3)-H,702.60415,418.33215,363.29105,317.28555,265.25315
Cer_AP(t21:1/23:4)-H,700.58855,416.31645,361.27535,315.26985,265.25315
Cer_AP(t21:1/24:0)-H,722.66685,438.39475,383.35365,337.34815,265.25315
Cer_AP(t21:1/24:1)-H,720.65115,436.37905,381.33795,335.33245,265.25315
Cer_AP(t21:1/24:2)-H,718.63545,434.36345,379.32235,333.31685,265.25315
Cer_AP(t21:1/24:3)-H,716.61985,432.34775,377.30665,331.30115,265.25315
Cer_AP(t21:1/24:4)-H,714.60415,430.33215,375.29105,329.28555,265.25315
Cer_AP(t21:1/25:0)-H,736.68245,452.41045,397.36925,351.36385,265.25315
Cer_AP(t21:1/25:1)-H,734.66685,450.39475,395.35365,349.34815,265.25315
Cer_AP(t21:1/25:2)-H,732.65115,448.37905,393.33795,347.33245,265.25315
Cer_AP(t21:1/25:3)-H,730.63545,446.36345,391.32235,345.31685,265.25315
Cer_AP(t21:1/25:4)-H,728.61985,444.34775,389.30665,343.30115,265.25315
Cer_AP(t21:1/26:0)-H,750.69815,466.42605,411.38495,365.37945,265.25315
Cer_AP(t21:1/26:1)-H,748.68245,464.41045,409.36925,363.36385,265.25315
Cer_AP(t21:1/26:2)-H,746.66685,462.39475,407.35365,361.34815,265.25315
Cer_AP(t21:1/26:3)-H,744.65115,460.37905,405.33795,359.33245,265.25315
Cer_AP(t21:1/26:4)-H,742.63545,458.36345,403.32235,357.31685,265.25315
Cer_AP(t21:1/27:0)-H,764.71375,480.44165,425.40055,379.39505,265.25315
Cer_AP(t21:1/27:1)-H,762.69815,478.42605,423.38495,377.37945,265.25315
Cer_AP(t21:1/27:2)-H,760.68245,476.41045,421.36925,375.36385,265.25315
Cer_AP(t21:1/27:3)-H,758.66685,474.39475,419.35365,373.34815,265.25315
Cer_AP(t21:1/27:4)-H,756.65115,472.37905,417.33795,371.33245,265.25315
Cer_AP(t21:1/28:0)-H,778.72945,494.45735,439.41625,393.41075,265.25315
Cer_AP(t21:1/28:1)-H,776.71375,492.44165,437.40055,391.39505,265.25315
Cer_AP(t21:1/28:2)-H,774.69815,490.42605,435.38495,389.37945,265.25315
Cer_AP(t21:1/28:3)-H,772.68245,488.41045,433.36925,387.36385,265.25315
Cer_AP(t21:1/28:4)-H,770.66685,486.39475,431.35365,385.34815,265.25315
Cer_AP(t21:1/29:0)-H,792.74505,508.47295,453.43185,407.42635,265.25315
Cer_AP(t21:1/29:1)-H,790.72945,506.45735,451.41625,405.41075,265.25315
Cer_AP(t21:1/29:2)-H,788.71375,504.44165,449.40055,403.39505,265.25315
Cer_AP(t21:1/29:3)-H,786.69815,502.42605,447.38495,401.37945,265.25315
Cer_AP(t21:1/29:4)-H,784.68245,500.41045,445.36925,399.36385,265.25315
Cer_AP(t21:1/30:0)-H,806.76065,522.48865,467.44755,421.44205,265.25315
Cer_AP(t21:1/30:1)-H,804.74505,520.47295,465.43185,419.42635,265.25315
Cer_AP(t21:1/30:2)-H,802.72945,518.45735,463.41625,417.41075,265.25315
Cer_AP(t21:1/30:3)-H,800.71375,516.44175,461.40055,415.39505,265.25315
Cer_AP(t21:1/30:4)-H,798.69815,514.42605,459.38495,413.37945,265.25315
Cer_AP(t21:1/31:0)-H,820.77635,536.50425,481.46315,435.45775,265.25315
Cer_AP(t21:1/31:1)-H,818.76065,534.48865,479.44755,433.44205,265.25315
Cer_AP(t21:1/31:2)-H,816.74505,532.47295,477.43185,431.42635,265.25315
Cer_AP(t21:1/31:3)-H,814.72945,530.45735,475.41625,429.41075,265.25315
Cer_AP(t21:1/31:4)-H,812.71375,528.44175,473.40055,427.39505,265.25315
Cer_AP(t21:1/32:0)-H,834.79195,550.51995,495.47885,449.47335,265.25315
Cer_AP(t21:1/32:1)-H,832.77635,548.50425,493.46315,447.45775,265.25315
Cer_AP(t21:1/32:2)-H,830.76065,546.48865,491.44755,445.44205,265.25315
Cer_AP(t21:1/32:3)-H,828.74505,544.47295,489.43185,443.42635,265.25315
Cer_AP(t21:1/32:4)-H,826.72945,542.45735,487.41625,441.41075,265.25315
Cer_AP(t21:1/33:0)-H,848.80765,564.53555,509.49445,463.48895,265.25315
Cer_AP(t21:1/33:1)-H,846.79195,562.51995,507.47885,461.47335,265.25315
Cer_AP(t21:1/33:2)-H,844.77635,560.50425,505.46315,459.45775,265.25315
Cer_AP(t21:1/33:3)-H,842.76065,558.48865,503.44755,457.44205,265.25315
Cer_AP(t21:1/33:4)-H,840.74505,556.47295,501.43185,455.42635,265.25315
Cer_AP(t21:1/34:0)-H,862.82335,578.55125,523.51015,477.50465,265.25315
Cer_AP(t21:1/34:1)-H,860.80765,576.53555,521.49455,475.48895,265.25315
Cer_AP(t21:1/34:2)-H,858.79195,574.51995,519.47885,473.47335,265.25315
Cer_AP(t21:1/34:3)-H,856.77635,572.50425,517.46315,471.45775,265.25315
Cer_AP(t21:1/34:4)-H,854.76065,570.48865,515.44755,469.44205,265.25315
Cer_AP(t21:1/35:0)-H,876.83895,592.56685,537.52575,491.52025,265.25315
Cer_AP(t21:1/35:1)-H,874.82335,590.55125,535.51015,489.50465,265.25315
Cer_AP(t21:1/35:2)-H,872.80765,588.53555,533.49455,487.48895,265.25315
Cer_AP(t21:1/35:3)-H,870.79195,586.51995,531.47885,485.47335,265.25315
Cer_AP(t21:1/35:4)-H,868.77635,584.50425,529.46315,483.45775,265.25315
Cer_AP(t21:1/36:0)-H,890.85465,606.58255,551.54145,505.53595,265.25315
Cer_AP(t21:1/36:1)-H,888.83895,604.56685,549.52575,503.52025,265.25315
Cer_AP(t21:1/36:2)-H,886.82335,602.55125,547.51015,501.50465,265.25315
Cer_AP(t21:1/36:3)-H,884.80765,600.53555,545.49455,499.48895,265.25315
Cer_AP(t21:1/36:4)-H,882.79195,598.51995,543.47885,497.47335,265.25315
Cer_AP(t22:1/14:0)-H,596.52595,298.23825,243.19715,197.19165,279.26875
Cer_AP(t22:1/14:1)-H,594.51035,296.22255,241.18145,195.17595,279.26875
Cer_AP(t22:1/14:2)-H,592.49465,294.20695,239.16585,193.16035,279.26875
Cer_AP(t22:1/14:3)-H,590.47905,292.19125,237.15015,191.14465,279.26875
Cer_AP(t22:1/15:0)-H,610.54165,312.25385,257.21275,211.20725,279.26875
Cer_AP(t22:1/15:1)-H,608.52595,310.23825,255.19715,209.19165,279.26875
Cer_AP(t22:1/15:2)-H,606.51035,308.22255,253.18145,207.17595,279.26875
Cer_AP(t22:1/15:3)-H,604.49465,306.20695,251.16585,205.16035,279.26875
Cer_AP(t22:1/16:0)-H,624.55725,326.26955,271.22845,225.22295,279.26875
Cer_AP(t22:1/16:1)-H,622.54165,324.25385,269.21275,223.20725,279.26875
Cer_AP(t22:1/16:2)-H,620.52595,322.23825,267.19715,221.19165,279.26875
Cer_AP(t22:1/16:3)-H,618.51035,320.22255,265.18145,219.17595,279.26875
Cer_AP(t22:1/16:4)-H,616.49465,318.20695,263.16585,217.16035,279.26875
Cer_AP(t22:1/17:0)-H,638.57285,340.28515,285.24405,239.23855,279.26875
Cer_AP(t22:1/17:1)-H,636.55725,338.26955,283.22845,237.22295,279.26875
Cer_AP(t22:1/17:2)-H,634.54165,336.25385,281.21275,235.20725,279.26875
Cer_AP(t22:1/17:3)-H,632.52595,334.23825,279.19715,233.19165,279.26875
Cer_AP(t22:1/18:0)-H,652.58855,354.30085,299.25975,253.25425,279.26875
Cer_AP(t22:1/18:1)-H,650.57285,352.28515,297.24405,251.23855,279.26875
Cer_AP(t22:1/18:2)-H,648.55725,350.26955,295.22845,249.22295,279.26875
Cer_AP(t22:1/18:3)-H,646.54165,348.25385,293.21275,247.20725,279.26875
Cer_AP(t22:1/18:4)-H,644.52595,346.23825,291.19715,245.19165,279.26875
Cer_AP(t22:1/19:0)-H,666.60415,368.31645,313.27535,267.26985,279.26875
Cer_AP(t22:1/19:1)-H,664.58855,366.30085,311.25975,265.25425,279.26875
Cer_AP(t22:1/19:2)-H,662.57285,364.28515,309.24405,263.23855,279.26875
Cer_AP(t22:1/19:3)-H,660.55725,362.26955,307.22845,261.22295,279.26875
Cer_AP(t22:1/19:4)-H,658.54165,360.25385,305.21275,259.20725,279.26875
Cer_AP(t22:1/20:0)-H,680.61985,382.33215,327.29105,281.28555,279.26875
Cer_AP(t22:1/20:1)-H,678.60415,380.31645,325.27535,279.26985,279.26875
Cer_AP(t22:1/20:2)-H,676.58855,378.30085,323.25975,277.25425,279.26875
Cer_AP(t22:1/20:3)-H,674.57285,376.28515,321.24405,275.23855,279.26875
Cer_AP(t22:1/20:4)-H,672.55725,374.26955,319.22845,273.22295,279.26875
Cer_AP(t22:1/21:0)-H,694.63545,396.34775,341.30665,295.30115,279.26875
Cer_AP(t22:1/21:1)-H,692.61985,394.33215,339.29105,293.28555,279.26875
Cer_AP(t22:1/21:2)-H,690.60415,392.31645,337.27535,291.26985,279.26875
Cer_AP(t22:1/21:3)-H,688.58855,390.30085,335.25975,289.25425,279.26875
Cer_AP(t22:1/21:4)-H,686.57285,388.28515,333.24405,287.23855,279.26875
Cer_AP(t22:1/22:0)-H,708.65115,410.36345,355.32235,309.31685,279.26875
Cer_AP(t22:1/22:1)-H,706.63545,408.34775,353.30665,307.30115,279.26875
Cer_AP(t22:1/22:2)-H,704.61985,406.33215,351.29105,305.28555,279.26875
Cer_AP(t22:1/22:3)-H,702.60415,404.31645,349.27535,303.26985,279.26875
Cer_AP(t22:1/22:4)-H,700.58855,402.30085,347.25975,301.25425,279.26875
Cer_AP(t22:1/23:0)-H,722.66685,424.37905,369.33795,323.33245,279.26875
Cer_AP(t22:1/23:1)-H,720.65115,422.36345,367.32235,321.31685,279.26875
Cer_AP(t22:1/23:2)-H,718.63545,420.34775,365.30665,319.30115,279.26875
Cer_AP(t22:1/23:3)-H,716.61985,418.33215,363.29105,317.28555,279.26875
Cer_AP(t22:1/23:4)-H,714.60415,416.31645,361.27535,315.26985,279.26875
Cer_AP(t22:1/24:0)-H,736.68245,438.39475,383.35365,337.34815,279.26875
Cer_AP(t22:1/24:1)-H,734.66685,436.37905,381.33795,335.33245,279.26875
Cer_AP(t22:1/24:2)-H,732.65115,434.36345,379.32235,333.31685,279.26875
Cer_AP(t22:1/24:3)-H,730.63545,432.34775,377.30665,331.30115,279.26875
Cer_AP(t22:1/24:4)-H,728.61985,430.33215,375.29105,329.28555,279.26875
Cer_AP(t22:1/25:0)-H,750.69815,452.41045,397.36925,351.36385,279.26875
Cer_AP(t22:1/25:1)-H,748.68245,450.39475,395.35365,349.34815,279.26875
Cer_AP(t22:1/25:2)-H,746.66685,448.37905,393.33795,347.33245,279.26875
Cer_AP(t22:1/25:3)-H,744.65115,446.36345,391.32235,345.31685,279.26875
Cer_AP(t22:1/25:4)-H,742.63545,444.34775,389.30665,343.30115,279.26875
Cer_AP(t22:1/26:0)-H,764.71375,466.42605,411.38495,365.37945,279.26875
Cer_AP(t22:1/26:1)-H,762.69815,464.41045,409.36925,363.36385,279.26875
Cer_AP(t22:1/26:2)-H,760.68245,462.39475,407.35365,361.34815,279.26875
Cer_AP(t22:1/26:3)-H,758.66685,460.37905,405.33795,359.33245,279.26875
Cer_AP(t22:1/26:4)-H,756.65115,458.36345,403.32235,357.31685,279.26875
Cer_AP(t22:1/27:0)-H,778.72945,480.44165,425.40055,379.39505,279.26875
Cer_AP(t22:1/27:1)-H,776.71375,478.42605,423.38495,377.37945,279.26875
Cer_AP(t22:1/27:2)-H,774.69815,476.41045,421.36925,375.36385,279.26875
Cer_AP(t22:1/27:3)-H,772.68245,474.39475,419.35365,373.34815,279.26875
Cer_AP(t22:1/27:4)-H,770.66685,472.37905,417.33795,371.33245,279.26875
Cer_AP(t22:1/28:0)-H,792.74505,494.45735,439.41625,393.41075,279.26875
Cer_AP(t22:1/28:1)-H,790.72945,492.44165,437.40055,391.39505,279.26875
Cer_AP(t22:1/28:2)-H,788.71375,490.42605,435.38495,389.37945,279.26875
Cer_AP(t22:1/28:3)-H,786.69815,488.41045,433.36925,387.36385,279.26875
Cer_AP(t22:1/28:4)-H,784.68245,486.39475,431.35365,385.34815,279.26875
Cer_AP(t22:1/29:0)-H,806.76065,508.47295,453.43185,407.42635,279.26875
Cer_AP(t22:1/29:1)-H,804.74505,506.45735,451.41625,405.41075,279.26875
Cer_AP(t22:1/29:2)-H,802.72945,504.44165,449.40055,403.39505,279.26875
Cer_AP(t22:1/29:3)-H,800.71375,502.42605,447.38495,401.37945,279.26875
Cer_AP(t22:1/29:4)-H,798.69815,500.41045,445.36925,399.36385,279.26875
Cer_AP(t22:1/30:0)-H,820.77635,522.48865,467.44755,421.44205,279.26875
Cer_AP(t22:1/30:1)-H,818.76065,520.47295,465.43185,419.42635,279.26875
Cer_AP(t22:1/30:2)-H,816.74505,518.45735,463.41625,417.41075,279.26875
Cer_AP(t22:1/30:3)-H,814.72945,516.44175,461.40055,415.39505,279.26875
Cer_AP(t22:1/30:4)-H,812.71375,514.42605,459.38495,413.37945,279.26875
Cer_AP(t22:1/31:0)-H,834.79195,536.50425,481.46315,435.45775,279.26875
Cer_AP(t22:1/31:1)-H,832.77635,534.48865,479.44755,433.44205,279.26875
Cer_AP(t22:1/31:2)-H,830.76065,532.47295,477.43185,431.42635,279.26875
Cer_AP(t22:1/31:3)-H,828.74505,530.45735,475.41625,429.41075,279.26875
Cer_AP(t22:1/31:4)-H,826.72945,528.44175,473.40055,427.39505,279.26875
Cer_AP(t22:1/32:0)-H,848.80765,550.51995,495.47885,449.47335,279.26875
Cer_AP(t22:1/32:1)-H,846.79195,548.50425,493.46315,447.45775,279.26875
Cer_AP(t22:1/32:2)-H,844.77635,546.48865,491.44755,445.44205,279.26875
Cer_AP(t22:1/32:3)-H,842.76065,544.47295,489.43185,443.42635,279.26875
Cer_AP(t22:1/32:4)-H,840.74505,542.45735,487.41625,441.41075,279.26875
Cer_AP(t22:1/33:0)-H,862.82335,564.53555,509.49445,463.48895,279.26875
Cer_AP(t22:1/33:1)-H,860.80765,562.51995,507.47885,461.47335,279.26875
Cer_AP(t22:1/33:2)-H,858.79195,560.50425,505.46315,459.45775,279.26875
Cer_AP(t22:1/33:3)-H,856.77635,558.48865,503.44755,457.44205,279.26875
Cer_AP(t22:1/33:4)-H,854.76065,556.47295,501.43185,455.42635,279.26875
Cer_AP(t22:1/34:0)-H,876.83895,578.55125,523.51015,477.50465,279.26875
Cer_AP(t22:1/34:1)-H,874.82335,576.53555,521.49455,475.48895,279.26875
Cer_AP(t22:1/34:2)-H,872.80765,574.51995,519.47885,473.47335,279.26875
Cer_AP(t22:1/34:3)-H,870.79195,572.50425,517.46315,471.45775,279.26875
Cer_AP(t22:1/34:4)-H,868.77635,570.48865,515.44755,469.44205,279.26875
Cer_AP(t22:1/35:0)-H,890.85465,592.56685,537.52575,491.52025,279.26875
Cer_AP(t22:1/35:1)-H,888.83895,590.55125,535.51015,489.50465,279.26875
Cer_AP(t22:1/35:2)-H,886.82335,588.53555,533.49455,487.48895,279.26875
Cer_AP(t22:1/35:3)-H,884.80765,586.51995,531.47885,485.47335,279.26875
Cer_AP(t22:1/35:4)-H,882.79195,584.50425,529.46315,483.45775,279.26875
Cer_AP(t22:1/36:0)-H,904.87025,606.58255,551.54145,505.53595,279.26875
Cer_AP(t22:1/36:1)-H,902.85465,604.56685,549.52575,503.52025,279.26875
Cer_AP(t22:1/36:2)-H,900.83895,602.55125,547.51015,501.50465,279.26875
Cer_AP(t22:1/36:3)-H,898.82335,600.53555,545.49455,499.48895,279.26875
Cer_AP(t22:1/36:4)-H,896.80765,598.51995,543.47885,497.47335,279.26875
Cer_AP(t16:2/14:0)-H,510.41645,298.23825,243.19715,197.19165,193.15925
Cer_AP(t16:2/14:1)-H,508.40075,296.22255,241.18145,195.17595,193.15925
Cer_AP(t16:2/14:2)-H,506.38515,294.20695,239.16585,193.16035,193.15925
Cer_AP(t16:2/14:3)-H,504.36945,292.19125,237.15015,191.14465,193.15925
