PG,[M-H]-,M-H_Nlglycerol,NL_T1Ketene,NL_T2Ketene,NL_T1RCOOH,NL_T2RCOOH,NL_T1Ketene&Glycerol,NL_T2Ketene&Glycerol,NL_T1RCOOH&Glycerol,NL_T2RCOOH&Glycerol,T1_RCOO-,T2_RCOO-, Glycerol-3-phosphate_NLH2O,H2PO4-,PO3-,Glycerophosphoglycerol,Glycerophosphoglycerol_NLH2O,Glycerophosphoglycerol_NL2H2O
PG(13:0_20:3)-H,729.47136,655.43458,533.28859,441.22599,515.27803,423.21543,459.25181,367.18921,441.24125,349.17865,213.18605,305.24865,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(13:0_20:4)-H,727.45566,653.41888,531.27289,441.22599,513.26233,423.21543,457.23611,367.18921,439.22555,349.17865,213.18605,303.23295,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(13:0_20:5)-H,725.44006,651.40328,529.25729,441.22599,511.24673,423.21543,455.22051,367.18921,437.20995,349.17865,213.18605,301.21735,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(13:0_21:0)-H,749.53396,675.49718,553.35119,441.22599,535.34063,423.21543,479.31441,367.18921,461.30385,349.17865,213.18605,325.31125,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(13:0_22:0)-H,763.54956,689.51278,567.36679,441.22599,549.35623,423.21543,493.33001,367.18921,475.31945,349.17865,213.18605,339.32685,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(13:0_22:1)-H,761.53396,687.49718,565.35119,441.22599,547.34063,423.21543,491.31441,367.18921,473.30385,349.17865,213.18605,337.31125,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(13:0_22:2)-H,759.51826,685.48148,563.33549,441.22599,545.32493,423.21543,489.29871,367.18921,471.28815,349.17865,213.18605,335.29555,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(13:0_22:3)-H,757.50266,683.46588,561.31989,441.22599,543.30933,423.21543,487.28311,367.18921,469.27255,349.17865,213.18605,333.27995,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(13:0_22:4)-H,755.48696,681.45018,559.30419,441.22599,541.29363,423.21543,485.26741,367.18921,467.25685,349.17865,213.18605,331.26425,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(13:0_22:5)-H,753.47136,679.43458,557.28859,441.22599,539.27803,423.21543,483.25181,367.18921,465.24125,349.17865,213.18605,329.24865,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(13:0_22:6)-H,751.45566,677.41888,555.27289,441.22599,537.26233,423.21543,481.23611,367.18921,463.22555,349.17865,213.18605,327.23295,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(13:0_23:0)-H,777.56526,703.52848,581.38249,441.22599,563.37193,423.21543,507.34571,367.18921,489.33515,349.17865,213.18605,353.34255,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(13:0_24:0)-H,791.58086,717.54408,595.39809,441.22599,577.38753,423.21543,521.36131,367.18921,503.35075,349.17865,213.18605,367.35815,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(13:0_24:1)-H,789.56526,715.52848,593.38249,441.22599,575.37193,423.21543,519.34571,367.18921,501.33515,349.17865,213.18605,365.34255,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(13:0_25:0)-H,805.59656,731.55978,609.41379,441.22599,591.40323,423.21543,535.37701,367.18921,517.36645,349.17865,213.18605,381.37385,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(13:0_26:0)-H,819.61216,745.57538,623.42939,441.22599,605.41883,423.21543,549.39261,367.18921,531.38205,349.17865,213.18605,395.38945,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:0_14:0)-H,665.43996,591.40318,455.24159,455.24159,437.23103,437.23103,381.20481,381.20481,363.19425,363.19425,227.20165,227.20165,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:0_14:1)-H,663.42436,589.38758,453.22599,455.24159,435.21543,437.23103,379.18921,381.20481,361.17865,363.19425,227.20165,225.18605,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:0_15:0)-H,679.45566,605.41888,469.25729,455.24159,451.24673,437.23103,395.22051,381.20481,377.20995,363.19425,227.20165,241.21735,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:0_15:1)-H,677.43996,603.40318,467.24159,455.24159,449.23103,437.23103,393.20481,381.20481,375.19425,363.19425,227.20165,239.20165,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:0_16:0)-H,693.47126,619.43448,483.27289,455.24159,465.26233,437.23103,409.23611,381.20481,391.22555,363.19425,227.20165,255.23295,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:0_16:1)-H,691.45566,617.41888,481.25729,455.24159,463.24673,437.23103,407.22051,381.20481,389.20995,363.19425,227.20165,253.21735,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:0_17:0)-H,707.48696,633.45018,497.28859,455.24159,479.27803,437.23103,423.25181,381.20481,405.24125,363.19425,227.20165,269.24865,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:0_17:1)-H,705.47126,631.43448,495.27289,455.24159,477.26233,437.23103,421.23611,381.20481,403.22555,363.19425,227.20165,267.23295,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:0_17:2)-H,703.45566,629.41888,493.25729,455.24159,475.24673,437.23103,419.22051,381.20481,401.20995,363.19425,227.20165,265.21735,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:0_18:0)-H,721.50256,647.46578,511.30419,455.24159,493.29363,437.23103,437.26741,381.20481,419.25685,363.19425,227.20165,283.26425,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:0_18:1)-H,719.48696,645.45018,509.28859,455.24159,491.27803,437.23103,435.25181,381.20481,417.24125,363.19425,227.20165,281.24865,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:0_18:2)-H,717.47126,643.43448,507.27289,455.24159,489.26233,437.23103,433.23611,381.20481,415.22555,363.19425,227.20165,279.23295,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:0_18:3)-H,715.45566,641.41888,505.25729,455.24159,487.24673,437.23103,431.22051,381.20481,413.20995,363.19425,227.20165,277.21735,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:0_18:4)-H,713.43996,639.40318,503.24159,455.24159,485.23103,437.23103,429.20481,381.20481,411.19425,363.19425,227.20165,275.20165,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:0_19:0)-H,735.51826,661.48148,525.31989,455.24159,507.30933,437.23103,451.28311,381.20481,433.27255,363.19425,227.20165,297.27995,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:0_20:0)-H,749.53386,675.49708,539.33549,455.24159,521.32493,437.23103,465.29871,381.20481,447.28815,363.19425,227.20165,311.29555,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:0_20:1)-H,747.51826,673.48148,537.31989,455.24159,519.30933,437.23103,463.28311,381.20481,445.27255,363.19425,227.20165,309.27995,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:0_20:2)-H,745.50256,671.46578,535.30419,455.24159,517.29363,437.23103,461.26741,381.20481,443.25685,363.19425,227.20165,307.26425,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:0_20:3)-H,743.48696,669.45018,533.28859,455.24159,515.27803,437.23103,459.25181,381.20481,441.24125,363.19425,227.20165,305.24865,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:0_20:4)-H,741.47126,667.43448,531.27289,455.24159,513.26233,437.23103,457.23611,381.20481,439.22555,363.19425,227.20165,303.23295,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:0_20:5)-H,739.45566,665.41888,529.25729,455.24159,511.24673,437.23103,455.22051,381.20481,437.20995,363.19425,227.20165,301.21735,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:0_21:0)-H,763.54956,689.51278,553.35119,455.24159,535.34063,437.23103,479.31441,381.20481,461.30385,363.19425,227.20165,325.31125,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:0_22:0)-H,777.56516,703.52838,567.36679,455.24159,549.35623,437.23103,493.33001,381.20481,475.31945,363.19425,227.20165,339.32685,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:0_22:1)-H,775.54956,701.51278,565.35119,455.24159,547.34063,437.23103,491.31441,381.20481,473.30385,363.19425,227.20165,337.31125,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:0_22:2)-H,773.53386,699.49708,563.33549,455.24159,545.32493,437.23103,489.29871,381.20481,471.28815,363.19425,227.20165,335.29555,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:0_22:3)-H,771.51826,697.48148,561.31989,455.24159,543.30933,437.23103,487.28311,381.20481,469.27255,363.19425,227.20165,333.27995,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:0_22:4)-H,769.50256,695.46578,559.30419,455.24159,541.29363,437.23103,485.26741,381.20481,467.25685,363.19425,227.20165,331.26425,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:0_22:5)-H,767.48696,693.45018,557.28859,455.24159,539.27803,437.23103,483.25181,381.20481,465.24125,363.19425,227.20165,329.24865,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:0_22:6)-H,765.47126,691.43448,555.27289,455.24159,537.26233,437.23103,481.23611,381.20481,463.22555,363.19425,227.20165,327.23295,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:0_23:0)-H,791.58086,717.54408,581.38249,455.24159,563.37193,437.23103,507.34571,381.20481,489.33515,363.19425,227.20165,353.34255,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:0_24:0)-H,805.59646,731.55968,595.39809,455.24159,577.38753,437.23103,521.36131,381.20481,503.35075,363.19425,227.20165,367.35815,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:0_24:1)-H,803.58086,729.54408,593.38249,455.24159,575.37193,437.23103,519.34571,381.20481,501.33515,363.19425,227.20165,365.34255,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:0_25:0)-H,819.61216,745.57538,609.41379,455.24159,591.40323,437.23103,535.37701,381.20481,517.36645,363.19425,227.20165,381.37385,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:0_26:0)-H,833.62776,759.59098,623.42939,455.24159,605.41883,437.23103,549.39261,381.20481,531.38205,363.19425,227.20165,395.38945,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:1_14:1)-H,661.40876,587.37198,453.22599,453.22599,435.21543,435.21543,379.18921,379.18921,361.17865,361.17865,225.18605,225.18605,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:1_15:0)-H,677.44006,603.40328,469.25729,453.22599,451.24673,435.21543,395.22051,379.18921,377.20995,361.17865,225.18605,241.21735,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:1_15:1)-H,675.42436,601.38758,467.24159,453.22599,449.23103,435.21543,393.20481,379.18921,375.19425,361.17865,225.18605,239.20165,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:1_16:0)-H,691.45566,617.41888,483.27289,453.22599,465.26233,435.21543,409.23611,379.18921,391.22555,361.17865,225.18605,255.23295,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:1_16:1)-H,689.44006,615.40328,481.25729,453.22599,463.24673,435.21543,407.22051,379.18921,389.20995,361.17865,225.18605,253.21735,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:1_17:0)-H,705.47136,631.43458,497.28859,453.22599,479.27803,435.21543,423.25181,379.18921,405.24125,361.17865,225.18605,269.24865,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:1_17:1)-H,703.45566,629.41888,495.27289,453.22599,477.26233,435.21543,421.23611,379.18921,403.22555,361.17865,225.18605,267.23295,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:1_17:2)-H,701.44006,627.40328,493.25729,453.22599,475.24673,435.21543,419.22051,379.18921,401.20995,361.17865,225.18605,265.21735,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:1_18:0)-H,719.48696,645.45018,511.30419,453.22599,493.29363,435.21543,437.26741,379.18921,419.25685,361.17865,225.18605,283.26425,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:1_18:1)-H,717.47136,643.43458,509.28859,453.22599,491.27803,435.21543,435.25181,379.18921,417.24125,361.17865,225.18605,281.24865,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:1_18:2)-H,715.45566,641.41888,507.27289,453.22599,489.26233,435.21543,433.23611,379.18921,415.22555,361.17865,225.18605,279.23295,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:1_18:3)-H,713.44006,639.40328,505.25729,453.22599,487.24673,435.21543,431.22051,379.18921,413.20995,361.17865,225.18605,277.21735,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:1_18:4)-H,711.42436,637.38758,503.24159,453.22599,485.23103,435.21543,429.20481,379.18921,411.19425,361.17865,225.18605,275.20165,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:1_19:0)-H,733.50266,659.46588,525.31989,453.22599,507.30933,435.21543,451.28311,379.18921,433.27255,361.17865,225.18605,297.27995,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:1_20:0)-H,747.51826,673.48148,539.33549,453.22599,521.32493,435.21543,465.29871,379.18921,447.28815,361.17865,225.18605,311.29555,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:1_20:1)-H,745.50266,671.46588,537.31989,453.22599,519.30933,435.21543,463.28311,379.18921,445.27255,361.17865,225.18605,309.27995,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:1_20:2)-H,743.48696,669.45018,535.30419,453.22599,517.29363,435.21543,461.26741,379.18921,443.25685,361.17865,225.18605,307.26425,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:1_20:3)-H,741.47136,667.43458,533.28859,453.22599,515.27803,435.21543,459.25181,379.18921,441.24125,361.17865,225.18605,305.24865,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:1_20:4)-H,739.45566,665.41888,531.27289,453.22599,513.26233,435.21543,457.23611,379.18921,439.22555,361.17865,225.18605,303.23295,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:1_20:5)-H,737.44006,663.40328,529.25729,453.22599,511.24673,435.21543,455.22051,379.18921,437.20995,361.17865,225.18605,301.21735,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:1_21:0)-H,761.53396,687.49718,553.35119,453.22599,535.34063,435.21543,479.31441,379.18921,461.30385,361.17865,225.18605,325.31125,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:1_22:0)-H,775.54956,701.51278,567.36679,453.22599,549.35623,435.21543,493.33001,379.18921,475.31945,361.17865,225.18605,339.32685,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:1_22:1)-H,773.53396,699.49718,565.35119,453.22599,547.34063,435.21543,491.31441,379.18921,473.30385,361.17865,225.18605,337.31125,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:1_22:2)-H,771.51826,697.48148,563.33549,453.22599,545.32493,435.21543,489.29871,379.18921,471.28815,361.17865,225.18605,335.29555,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:1_22:3)-H,769.50266,695.46588,561.31989,453.22599,543.30933,435.21543,487.28311,379.18921,469.27255,361.17865,225.18605,333.27995,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:1_22:4)-H,767.48696,693.45018,559.30419,453.22599,541.29363,435.21543,485.26741,379.18921,467.25685,361.17865,225.18605,331.26425,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:1_22:5)-H,765.47136,691.43458,557.28859,453.22599,539.27803,435.21543,483.25181,379.18921,465.24125,361.17865,225.18605,329.24865,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:1_22:6)-H,763.45566,689.41888,555.27289,453.22599,537.26233,435.21543,481.23611,379.18921,463.22555,361.17865,225.18605,327.23295,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:1_23:0)-H,789.56526,715.52848,581.38249,453.22599,563.37193,435.21543,507.34571,379.18921,489.33515,361.17865,225.18605,353.34255,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:1_24:0)-H,803.58086,729.54408,595.39809,453.22599,577.38753,435.21543,521.36131,379.18921,503.35075,361.17865,225.18605,367.35815,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:1_24:1)-H,801.56526,727.52848,593.38249,453.22599,575.37193,435.21543,519.34571,379.18921,501.33515,361.17865,225.18605,365.34255,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:1_25:0)-H,817.59656,743.55978,609.41379,453.22599,591.40323,435.21543,535.37701,379.18921,517.36645,361.17865,225.18605,381.37385,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(14:1_26:0)-H,831.61216,757.57538,623.42939,453.22599,605.41883,435.21543,549.39261,379.18921,531.38205,361.17865,225.18605,395.38945,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(15:0_15:0)-H,693.47136,619.43458,469.25729,469.25729,451.24673,451.24673,395.22051,395.22051,377.20995,377.20995,241.21735,241.21735,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(15:0_15:1)-H,691.45566,617.41888,467.24159,469.25729,449.23103,451.24673,393.20481,395.22051,375.19425,377.20995,241.21735,239.20165,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(15:0_16:0)-H,707.48696,633.45018,483.27289,469.25729,465.26233,451.24673,409.23611,395.22051,391.22555,377.20995,241.21735,255.23295,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(15:0_16:1)-H,705.47136,631.43458,481.25729,469.25729,463.24673,451.24673,407.22051,395.22051,389.20995,377.20995,241.21735,253.21735,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(15:0_17:0)-H,721.50266,647.46588,497.28859,469.25729,479.27803,451.24673,423.25181,395.22051,405.24125,377.20995,241.21735,269.24865,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(15:0_17:1)-H,719.48696,645.45018,495.27289,469.25729,477.26233,451.24673,421.23611,395.22051,403.22555,377.20995,241.21735,267.23295,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(15:0_17:2)-H,717.47136,643.43458,493.25729,469.25729,475.24673,451.24673,419.22051,395.22051,401.20995,377.20995,241.21735,265.21735,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(15:0_18:0)-H,735.51826,661.48148,511.30419,469.25729,493.29363,451.24673,437.26741,395.22051,419.25685,377.20995,241.21735,283.26425,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(15:0_18:1)-H,733.50266,659.46588,509.28859,469.25729,491.27803,451.24673,435.25181,395.22051,417.24125,377.20995,241.21735,281.24865,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(15:0_18:2)-H,731.48696,657.45018,507.27289,469.25729,489.26233,451.24673,433.23611,395.22051,415.22555,377.20995,241.21735,279.23295,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(15:0_18:3)-H,729.47136,655.43458,505.25729,469.25729,487.24673,451.24673,431.22051,395.22051,413.20995,377.20995,241.21735,277.21735,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(15:0_18:4)-H,727.45566,653.41888,503.24159,469.25729,485.23103,451.24673,429.20481,395.22051,411.19425,377.20995,241.21735,275.20165,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(15:0_19:0)-H,749.53396,675.49718,525.31989,469.25729,507.30933,451.24673,451.28311,395.22051,433.27255,377.20995,241.21735,297.27995,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(15:0_20:0)-H,763.54956,689.51278,539.33549,469.25729,521.32493,451.24673,465.29871,395.22051,447.28815,377.20995,241.21735,311.29555,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(15:0_20:1)-H,761.53396,687.49718,537.31989,469.25729,519.30933,451.24673,463.28311,395.22051,445.27255,377.20995,241.21735,309.27995,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(15:0_20:2)-H,759.51826,685.48148,535.30419,469.25729,517.29363,451.24673,461.26741,395.22051,443.25685,377.20995,241.21735,307.26425,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(15:0_20:3)-H,757.50266,683.46588,533.28859,469.25729,515.27803,451.24673,459.25181,395.22051,441.24125,377.20995,241.21735,305.24865,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(15:0_20:4)-H,755.48696,681.45018,531.27289,469.25729,513.26233,451.24673,457.23611,395.22051,439.22555,377.20995,241.21735,303.23295,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(15:0_20:5)-H,753.47136,679.43458,529.25729,469.25729,511.24673,451.24673,455.22051,395.22051,437.20995,377.20995,241.21735,301.21735,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(15:0_21:0)-H,777.56526,703.52848,553.35119,469.25729,535.34063,451.24673,479.31441,395.22051,461.30385,377.20995,241.21735,325.31125,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(15:0_22:0)-H,791.58086,717.54408,567.36679,469.25729,549.35623,451.24673,493.33001,395.22051,475.31945,377.20995,241.21735,339.32685,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(15:0_22:1)-H,789.56526,715.52848,565.35119,469.25729,547.34063,451.24673,491.31441,395.22051,473.30385,377.20995,241.21735,337.31125,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(15:0_22:2)-H,787.54956,713.51278,563.33549,469.25729,545.32493,451.24673,489.29871,395.22051,471.28815,377.20995,241.21735,335.29555,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(15:0_22:3)-H,785.53396,711.49718,561.31989,469.25729,543.30933,451.24673,487.28311,395.22051,469.27255,377.20995,241.21735,333.27995,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(15:0_22:4)-H,783.51826,709.48148,559.30419,469.25729,541.29363,451.24673,485.26741,395.22051,467.25685,377.20995,241.21735,331.26425,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(15:0_22:5)-H,781.50266,707.46588,557.28859,469.25729,539.27803,451.24673,483.25181,395.22051,465.24125,377.20995,241.21735,329.24865,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(15:0_22:6)-H,779.48696,705.45018,555.27289,469.25729,537.26233,451.24673,481.23611,395.22051,463.22555,377.20995,241.21735,327.23295,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(15:0_23:0)-H,805.59656,731.55978,581.38249,469.25729,563.37193,451.24673,507.34571,395.22051,489.33515,377.20995,241.21735,353.34255,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(15:0_24:0)-H,819.61216,745.57538,595.39809,469.25729,577.38753,451.24673,521.36131,395.22051,503.35075,377.20995,241.21735,367.35815,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(15:0_24:1)-H,817.59656,743.55978,593.38249,469.25729,575.37193,451.24673,519.34571,395.22051,501.33515,377.20995,241.21735,365.34255,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(15:0_25:0)-H,833.62786,759.59108,609.41379,469.25729,591.40323,451.24673,535.37701,395.22051,517.36645,377.20995,241.21735,381.37385,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(15:0_26:0)-H,847.64346,773.60668,623.42939,469.25729,605.41883,451.24673,549.39261,395.22051,531.38205,377.20995,241.21735,395.38945,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(15:1_15:1)-H,689.43996,615.40318,467.24159,467.24159,449.23103,449.23103,393.20481,393.20481,375.19425,375.19425,239.20165,239.20165,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(15:1_16:0)-H,705.47126,631.43448,483.27289,467.24159,465.26233,449.23103,409.23611,393.20481,391.22555,375.19425,239.20165,255.23295,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(15:1_16:1)-H,703.45566,629.41888,481.25729,467.24159,463.24673,449.23103,407.22051,393.20481,389.20995,375.19425,239.20165,253.21735,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(15:1_17:0)-H,719.48696,645.45018,497.28859,467.24159,479.27803,449.23103,423.25181,393.20481,405.24125,375.19425,239.20165,269.24865,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(15:1_17:1)-H,717.47126,643.43448,495.27289,467.24159,477.26233,449.23103,421.23611,393.20481,403.22555,375.19425,239.20165,267.23295,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(15:1_17:2)-H,715.45566,641.41888,493.25729,467.24159,475.24673,449.23103,419.22051,393.20481,401.20995,375.19425,239.20165,265.21735,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(15:1_18:0)-H,733.50256,659.46578,511.30419,467.24159,493.29363,449.23103,437.26741,393.20481,419.25685,375.19425,239.20165,283.26425,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(15:1_18:1)-H,731.48696,657.45018,509.28859,467.24159,491.27803,449.23103,435.25181,393.20481,417.24125,375.19425,239.20165,281.24865,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(15:1_18:2)-H,729.47126,655.43448,507.27289,467.24159,489.26233,449.23103,433.23611,393.20481,415.22555,375.19425,239.20165,279.23295,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(15:1_18:3)-H,727.45566,653.41888,505.25729,467.24159,487.24673,449.23103,431.22051,393.20481,413.20995,375.19425,239.20165,277.21735,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(15:1_18:4)-H,725.43996,651.40318,503.24159,467.24159,485.23103,449.23103,429.20481,393.20481,411.19425,375.19425,239.20165,275.20165,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(15:1_19:0)-H,747.51826,673.48148,525.31989,467.24159,507.30933,449.23103,451.28311,393.20481,433.27255,375.19425,239.20165,297.27995,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(15:1_20:0)-H,761.53386,687.49708,539.33549,467.24159,521.32493,449.23103,465.29871,393.20481,447.28815,375.19425,239.20165,311.29555,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(15:1_20:1)-H,759.51826,685.48148,537.31989,467.24159,519.30933,449.23103,463.28311,393.20481,445.27255,375.19425,239.20165,309.27995,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(15:1_20:2)-H,757.50256,683.46578,535.30419,467.24159,517.29363,449.23103,461.26741,393.20481,443.25685,375.19425,239.20165,307.26425,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(15:1_20:3)-H,755.48696,681.45018,533.28859,467.24159,515.27803,449.23103,459.25181,393.20481,441.24125,375.19425,239.20165,305.24865,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(15:1_20:4)-H,753.47126,679.43448,531.27289,467.24159,513.26233,449.23103,457.23611,393.20481,439.22555,375.19425,239.20165,303.23295,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
